date,spring_baseline,robustness_check_early,robustness_check_medium,robustness_check_late
2021-01-01,209.9561083135638,209.9561083135638,209.9561083135638,209.9561083135638
2021-01-02,213.03736072415896,213.03736072415896,213.03736072415896,213.03736072415896
2021-01-03,215.04604042306295,215.02209906789125,215.02209906789125,215.02209906789125
2021-01-04,211.31717435507377,211.2202118666285,211.2202118666285,211.2202118666285
2021-01-05,204.13835900684555,204.2015641844988,204.2015641844988,204.2015641844988
2021-01-06,202.5007703131027,202.5031644486198,202.5031644486198,202.5031644486198
2021-01-07,205.03513376770482,204.95510123755943,204.95510123755943,204.95510123755943
2021-01-08,206.1514849574242,205.7287490289643,205.7287490289643,205.7287490289643
2021-01-09,205.75542653901272,205.54405857478272,205.54405857478272,205.54405857478272
2021-01-10,204.82376580347486,204.40513410732996,204.40513410732996,204.40513410732996
2021-01-11,203.0363726302291,202.4371547122179,202.4371547122179,202.4371547122179
2021-01-12,200.35015257996665,199.45132570294982,199.45132570294982,199.45132570294982
2021-01-13,196.29517105260322,195.52357537735597,195.52357537735597,195.52357537735597
2021-01-14,191.80103666751933,190.76061377563002,190.76061377563002,190.76061377563002
2021-01-15,186.5701925818669,185.9484013861224,185.9484013861224,185.9484013861224
2021-01-16,181.8564817679227,180.6765149773185,180.6765149773185,180.6765149773185
2021-01-17,176.69335751547015,175.47440051787206,175.47440051787206,175.47440051787206
2021-01-18,171.725184297987,170.59652041132208,170.59652041132208,170.59652041132208
2021-01-19,167.5080855941754,166.33632726820144,166.33632726820144,166.33632726820144
2021-01-20,163.98870638393842,162.54196449284976,162.54196449284976,162.54196449284976
2021-01-21,159.51098892811513,157.91239044136606,157.91239044136606,157.91239044136606
2021-01-22,155.3595579413458,153.5208618641608,153.5208618641608,153.5208618641608
2021-01-23,150.79975583921959,149.19294888784023,149.19294888784023,149.19294888784023
2021-01-24,146.14966062616014,145.27545914303425,145.27545914303425,145.27545914303425
2021-01-25,142.43327826479626,141.19174798946486,141.19174798946486,141.19174798946486
2021-01-26,139.342791331492,137.89604944040332,137.89604944040332,137.89604944040332
2021-01-27,135.7146499649037,134.65370591143866,134.65370591143866,134.65370591143866
2021-01-28,132.20758345161218,130.9352714339172,130.9352714339172,130.9352714339172
2021-01-29,128.60406747891477,127.72781387963127,127.72781387963127,127.72781387963127
2021-01-30,125.48690303556205,124.31104047727295,124.31104047727295,124.31104047727295
2021-01-31,122.12348465330061,120.68084699452712,120.68084699452712,120.68084699452712
2021-02-01,119.14996834097799,118.01309598968278,118.01309598968278,118.01309598968278
2021-02-02,117.05475774409639,116.08821103387973,116.08821103387973,116.08821103387973
2021-02-03,114.88361884938463,113.44508542292628,113.44508542292628,113.44508542292628
2021-02-04,111.65153590120784,110.4592564136582,110.4592564136582,110.4592564136582
2021-02-05,108.86476215922433,107.22512134932386,107.22512134932386,107.22512134932386
2021-02-06,105.70450327656259,104.47733781433416,104.47733781433416,104.47733781433416
2021-02-07,103.20502579663918,101.33144374477546,101.33144374477546,101.33144374477546
2021-02-08,100.512649397904,98.97356227972458,98.97356227972458,98.97356227972458
2021-02-09,98.12603830664713,96.59721176925557,96.59721176925557,96.59721176925557
2021-02-10,95.77020895775381,94.12441179938062,94.12441179938062,94.12441179938062
2021-02-11,93.21532434157595,91.67418510723898,91.67418510723898,91.67418510723898
2021-02-12,90.61939740224669,89.23011476357004,89.23011476357004,89.23011476357004
2021-02-13,88.52008257304996,87.24982267151252,87.24982267151252,87.24982267151252
2021-02-14,87.37910598943964,86.28327596129587,86.28327596129587,86.28327596129587
2021-02-15,86.81887827842232,85.68200592712711,85.68200592712711,85.68200592712711
2021-02-16,86.77373172295572,85.88721754288436,85.88721754288436,85.88721754288436
2021-02-17,86.59930184956207,86.0944812747992,86.0944812747992,86.0944812747992
2021-02-18,86.978943338713,86.09242915864162,86.09242915864162,86.09242915864162
2021-02-19,87.56790067593629,86.74089786443454,86.74089786443454,86.74089786443454
2021-02-20,87.93728158429937,87.10412242432488,87.10412242432488,87.10412242432488
2021-02-21,87.32575096934275,86.81477404610717,86.81477404610717,86.81477404610717
2021-02-22,86.9768912225554,86.63008359192563,86.63008359192563,86.63008359192563
2021-02-23,86.81272192994963,86.59930184956205,86.59930184956205,86.59930184956205
2021-02-24,87.55764009514844,87.01998566186442,87.01998566186442,87.01998566186442
2021-02-25,87.70949669080882,87.5063371912091,87.5063371912091,87.5063371912091
2021-02-26,88.00500141749924,87.76490382706326,87.76490382706326,87.76490382706326
2021-02-27,88.53444738615296,88.0768254830143,88.0768254830143,88.0768254830143
2021-02-28,89.2424274605155,88.86689020367973,88.86689020367973,88.86689020367973
2021-03-01,89.6549028081876,89.20138513736404,89.20138513736404,89.20138513736404
2021-03-02,90.46548869042876,90.08379508512024,90.03249218118096,90.01197101960523
2021-03-03,91.2042505071549,91.98405464703244,91.64955971334811,91.50385946616048
2021-03-04,92.60995007509206,94.61281544488291,93.87610574431436,93.60522641151478
2021-03-05,94.58613793483443,98.1116734935441,96.81268396580069,96.30375915872268
2021-03-06,96.75932894570381,101.79111776407171,100.06118384323804,98.91610302731256
2021-03-07,99.01460460287605,105.92613182158044,102.93414646383962,101.97375610209566
2021-03-08,101.80343046101713,110.2704617271615,106.82290658243963,105.59779323636882
2021-03-09,104.70717482398233,114.95749503105725,110.86147118054241,109.05150472956342
2021-03-10,107.4918964498083,119.7697074205649,114.94928656642695,112.55241489438222
2021-03-11,110.74244844340322,124.68452561795121,119.54192252707436,116.28110995269155
2021-03-12,113.49023197839286,128.67999577674496,123.45941227188038,119.56244368865008
