date,spring_baseline,robustness_check_early,robustness_check_medium,robustness_check_late
2021-01-01,13.273087307179317,13.273087307179317,13.273087307179317,13.273087307179317
2021-01-02,13.136621582700744,13.136621582700744,13.136621582700744,13.136621582700744
2021-01-03,13.04325029753119,13.04325029753119,13.04325029753119,13.04325029753119
2021-01-04,13.194080835112771,13.194080835112771,13.194080835112771,13.194080835112771
2021-01-05,13.224246942629092,13.224246942629092,13.224246942629092,13.224246942629092
2021-01-06,13.323364153039847,13.323364153039847,13.323364153039847,13.323364153039847
2021-01-07,13.344911372694357,13.344911372694357,13.344911372694357,13.344911372694357
2021-01-08,13.383901579688237,13.383901579688237,13.383901579688237,13.383901579688237
2021-01-09,13.445465064415412,13.445465064415412,13.445465064415414,13.44341294825784
2021-01-10,13.480351039094149,13.492663736039582,13.461881993675993,13.451621412888128
2021-01-11,13.254618261761165,13.303869049542907,13.275139423336892,13.258722494076313
2021-01-12,13.15406457004011,13.213575938609715,13.1848463124037,13.139699756937098
2021-01-13,12.96116565122829,12.987843161276734,12.996051625907025,12.948852954282854
2021-01-14,12.815465404040639,12.772370964731612,12.885237353398107,12.805204823252774
2021-01-15,12.725172293107443,12.71491171231958,12.8257259848285,12.725172293107445
2021-01-16,12.604097439810662,12.579472045919795,12.70259901537415,12.612305904440953
2021-01-17,12.4666056572533,12.495335283459319,12.653348227592405,12.507647980404752
2021-01-18,12.522012793507761,12.460449308780586,12.638983414489397,12.501491631932037
2021-01-19,12.452240844150298,12.388625243265546,12.561003000501644,12.497387399616889
2021-01-20,12.376312546320113,12.286019435386917,12.530221258138052,12.34963503627167
2021-01-21,12.214195369871877,12.203934789084018,12.292175783859639,12.156736117459847
2021-01-22,12.03155703184792,11.972045663278315,12.07259935499937,11.939211804757155
2021-01-23,11.93305545628444,11.914586410866287,11.969993547120742,11.873544087714835
2021-01-24,11.883804668502698,11.838658113036104,11.844814461508816,11.850970809981536
2021-01-25,11.614977451860693,11.666280355800005,11.610873219545546,11.586247825654675
2021-01-26,11.321524841327811,11.38308832605499,11.442599694624597,11.313316376697522
2021-01-27,11.058853973158527,11.151199200249293,11.17377247798259,11.054749740843384
2021-01-28,10.882371983607284,10.989082023801062,11.034228579267655,10.841329660455838
2021-01-29,10.512991075244225,10.671004019377314,10.695629413268184,10.551981282238106
2021-01-30,10.147714399196309,10.254424439390085,10.36318659574143,10.190808838505337
2021-01-31,9.759864445415099,9.807063117039267,9.989701455063225,9.770125026202958
2021-02-01,9.517714738821535,9.394587769367181,9.646998056748604,9.454099137936787
2021-02-02,9.351493330058156,9.158594411246336,9.269408683755255,9.129864785040322
2021-02-03,9.142177481985756,8.9369658662285,9.00058146711325,9.029311093319267
2021-02-04,8.87335026534375,8.569637074023012,8.682503462689505,8.854881219925598
2021-02-05,8.68045134653193,8.247454837284122,8.432145291465652,8.565532841707869
2021-02-06,8.407519897574778,8.066868615417736,8.165370190981218,8.282340811962857
2021-02-07,8.120223635514622,7.890386625866496,7.880126045078635,8.075077080048025
2021-02-08,7.853448535030191,7.76520754025457,7.566152272970031,7.923220484387659
2021-02-09,7.521005717503433,7.475859162036838,7.342471611794623,7.660549616218369
2021-02-10,7.174198086873672,7.1865107838191085,7.0428626527890295,7.328106798691617
2021-02-11,6.895110289443805,6.919735683334676,6.741201577625864,7.02849783968602
2021-02-12,6.620126724329083,6.757618506886443,6.519573032608029,6.7760875523045945
2021-02-13,6.388237598523384,6.499051871032301,6.2261204220751525,6.490843406402011
2021-02-14,6.236381002863014,6.187130215081273,6.035273619420905,6.215859841287289
2021-02-15,6.00859610937246,6.006543993214887,5.9265114630695575,5.996283412427023
2021-02-16,5.875208559130241,5.873156442972672,5.694622337263859,5.8259577713485005
2021-02-17,5.696674453421431,5.696674453421429,5.5571305547064975,5.624850387906392
2021-02-18,5.493514953821748,5.60022499401552,5.423743004464281,5.52019246387019
2021-02-19,5.368335868209821,5.434003585252142,5.271886408803912,5.4565768629854405
2021-02-20,5.288303338064491,5.202114459446445,5.193905994816153,5.317032964270508
2021-02-21,5.165176368610138,5.058466328416366,5.019476121422487,5.169280600925282
2021-02-22,5.064622676889083,4.845046248028818,4.906609732755995,5.031788818367921
2021-02-23,4.988694379058898,4.705502349313885,4.8594110611318255,4.9045576165984235
2021-02-24,4.964068985168026,4.619313470695838,4.709606581629029,4.75885736941077
2021-02-25,4.943547823592301,4.510551314344492,4.7157629301017465,4.627521935326127
2021-02-26,4.879932222707552,4.516707662817209,4.600844425277685,4.563906334441378
2021-02-27,4.7383362078350455,4.455144178090033,4.512603430502065,4.430518784199161
2021-02-28,4.678824839265441,4.38947646104771,4.424362435726445,4.350486254053831
2021-03-01,4.578271147544385,4.391528577205283,4.3340693247932505,4.2848185370115095
2021-03-02,4.516707662817209,4.2684016077509295,4.245828330017631,4.303287582429663
2021-03-03,4.539280940550507,4.233515633072196,4.1575873352420105,4.247880446175204
2021-03-04,4.418206087253725,4.186316961448028,4.015991320369505,4.143222522139003
2021-03-05,4.4120497387810085,4.03651248194523,4.03651248194523,4.075502688939109
2021-03-06,4.362798950999266,3.968792648745336,3.948271487169609,4.065242108151245
2021-03-07,4.23761986538734,3.9359587902241753,3.909281280175731,4.057033643520955
2021-03-08,4.202733890708607,3.849769911606127,3.8538741439212725,4.009834971896786
2021-03-09,4.112440779775414,3.8538741439212725,3.757424684515362,3.9072291640181587
2021-03-10,3.9728968810604797,3.7902585430365234,3.7389556390972087,3.8990206993878687
2021-03-11,3.983157461848343,3.7410077552547816,3.759476800672935,3.903124931703013
