date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,0.010980318144023865,0.011169143021096378,0.011075973861979045,0.011168423306390748,0.011025953326170632
2021-01-16,0.01353857026921066,0.013854423291962561,0.013841746043822907,0.013636654741543856,0.013569382018505206
2021-01-17,0.016896329349722895,0.01706588833213365,0.01670717369750474,0.016560125544765457,0.016482250236159054
2021-01-18,0.019406117195962948,0.01988952189589699,0.019226920540803414,0.019039445531108732,0.019111695123349093
2021-01-19,0.02251931625851343,0.02289338809381323,0.022245476549249504,0.0218271089778145,0.02192148572738558
2021-01-20,0.025751396838384153,0.026329824800411177,0.025617714246911543,0.025387871700475073,0.025338130433147706
2021-01-21,0.029211589005253523,0.03027264830054355,0.029343772557657254,0.029087105823378735,0.029262915337117903
2021-01-22,0.033961473598512606,0.0345736353944269,0.03338570695151222,0.033205214893901595,0.033343561234380904
2021-01-23,0.03908253935205866,0.0396700006645941,0.038768915972664526,0.038556891126305295,0.03878277692149922
2021-01-24,0.044493755124003866,0.04539776929975479,0.04477734774341759,0.044469389105794524,0.04456288534629811
2021-01-25,0.05025191508925644,0.05092235465529015,0.050217412521135464,0.050072127259061246,0.04978166571020588
2021-01-26,0.05660214541109268,0.056720636141674635,0.05589960482265417,0.056482773236446224,0.05569151829376627
2021-01-27,0.06367655273611927,0.06351460869200794,0.061945083596890486,0.06261896322539469,0.06215629285251455
2021-01-28,0.07136719980955473,0.07114829399691323,0.06889859066432936,0.06982593411015485,0.06919819786446527
2021-01-29,0.07900987364920116,0.07876218911774283,0.07687536056907235,0.07772826916795976,0.07685314189217353
2021-01-30,0.0890523749749404,0.08789164884383777,0.08573727042773417,0.0864839603632027,0.08621379860751989
2021-01-31,0.09963898039673173,0.09827637592197527,0.09574506052172323,0.09585908744078075,0.09638028387706558
2021-02-01,0.1059895521731989,0.10454297138512225,0.10134554344798836,0.10181226729895547,0.10214368796801962
2021-02-02,0.11257143879287712,0.11160347006950708,0.10780286744602444,0.10807334547549667,0.10835670631321455
2021-02-03,0.12004549874059763,0.11878205671240255,0.11528883370195767,0.11513687145691856,0.11454064019709922
2021-02-04,0.12794411507862272,0.1253769947118709,0.12185856382455351,0.12180830272018325,0.12095043064560648
2021-02-05,0.13468698211860872,0.13258049264029673,0.12756572262715588,0.12835096203891444,0.12673917684724514
2021-02-06,0.140205331311496,0.1380078281642528,0.13246970553078083,0.1334124084589902,0.13095082071691375
2021-02-07,0.1454254368686291,0.14340259205147438,0.1364733781274352,0.1377834859084478,0.1347661307978468
2021-02-08,0.1561172112596438,0.15402290186191514,0.14616598946386483,0.1478113786219456,0.14415725975874624
2021-02-09,0.16535067535905473,0.16435046395623226,0.1554688524712745,0.15701836233852562,0.15279975605883594
2021-02-10,0.1753646369231071,0.17430015929721906,0.16430331350513966,0.16665330110095405,0.16105351330612044
2021-02-11,0.1848224928547998,0.18575073460590738,0.17393255705730656,0.17630273491932985,0.1701985534724916
2021-02-12,0.19609739889188138,0.19710387740538954,0.1846048508065342,0.18635730796818148,0.18030676378869187
2021-02-13,0.20734906938470166,0.2085667684995091,0.19524809099398466,0.19770196716525237,0.190086877516384
2021-02-14,0.21814740169886596,0.22037690511004016,0.20580508325033592,0.2097899879033462,0.2003421926283519
2021-02-15,0.23034692318496647,0.2339425023739758,0.21805239381143932,0.22228203727191967,0.21224034991300297
2021-02-16,0.24454199797733253,0.24758051358871935,0.2308473991696842,0.2344497519339027,0.2244595651179674
2021-02-17,0.25745295479439834,0.26196531359490355,0.2439221853956659,0.2476076735037702,0.23732761846396982
2021-02-18,0.2720830007068767,0.27652328129662956,0.25864658270549234,0.26184435616862023,0.2513401566530515
2021-02-19,0.2876750807345514,0.2921776419236804,0.2726580953508775,0.2766175755040311,0.26401184663353783
2021-02-20,0.3026326271750123,0.3097211442732499,0.2881707767420442,0.29146802736337135,0.2783836956133595
2021-02-21,0.3200971933598024,0.3258999736481393,0.30358705800076036,0.3071845054767497,0.29339321179369315
2021-02-22,0.33652742578216355,0.3415831405427459,0.31931799868249905,0.3227001946167732,0.30714679507777976
2021-02-23,0.35159489636606733,0.3586878485376643,0.3351380890151958,0.3390763161925187,0.32310347709638343
2021-02-24,0.3676039214258104,0.37590675799110407,0.35140402822999006,0.35580201329591993,0.33846348859550435
2021-02-25,0.3844566393660522,0.39418337647515467,0.3677151283412773,0.3735955042956481,0.3535068157242695
2021-02-26,0.4004788981549517,0.4122416173591756,0.3847442987072512,0.39115049188564394,0.37042742713428223
2021-02-27,0.4169127966326457,0.4296740025355406,0.40098524562707266,0.408174110822497,0.38712559117677087
2021-02-28,0.43342584568292053,0.4493141598620124,0.4187020593571068,0.42485895180871114,0.40439308080695296
2021-03-01,0.451440930552635,0.4682978520887247,0.43648073802732174,0.4423642085323699,0.4215617476182457
2021-03-02,0.4696833993477937,0.4866708068351534,0.45441854826084527,0.4604393188768821,0.4379479278267317
2021-03-03,0.4887693283701008,0.5055633147710729,0.4728478736856642,0.4767817186242523,0.4569684209421823
2021-03-04,0.5073498724707813,0.5231429247540975,0.49102486319973404,0.4944698907340553,0.47500011481391297
2021-03-05,0.5254902667474542,0.5411172893145962,0.5089776892169698,0.5120766492314298,0.49270274177655565
2021-03-06,0.5443323842243059,0.560060898475958,0.5279309983158883,0.5299332034938682,0.5101602016200507
2021-03-07,0.5621198215252272,0.5778344995987956,0.5460864832672672,0.5490624777723914,0.5278557289931253
2021-03-08,0.5792338834341051,0.5955932439208824,0.5642717767238575,0.5666482134802683,0.5456878630018107
