date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,8.940659675312132,8.854470796694082,8.914803011726717,8.937786712691526,8.893255792072203
2021-01-16,8.835796539660173,8.80993987607476,8.807066913454157,8.837233020970473,8.821431726557163
2021-01-17,8.748171179731825,8.746734698421525,8.73667932924942,8.79557506297175,8.735242847939116
2021-01-18,8.707949703043402,8.656236375872574,8.697894333871297,8.753917104973027,8.690711927319793
2021-01-19,8.699330815181595,8.673474151596185,8.699330815181595,8.687838964699193,8.623197305735655
2021-01-20,8.66772822635498,8.616014899184153,8.644744525390168,8.630379712287159,8.551373240220615
2021-01-21,8.473803249464373,8.417780478362642,8.476676212084977,8.386177889536025,8.373249557743318
2021-01-22,8.299989010917976,8.389050852156627,8.37755900167422,8.30429845484888,8.254021608988353
2021-01-23,8.190816431335117,8.20805420705873,8.266949940781059,8.169269211680605,8.154904398577598
2021-01-24,8.192252912645419,8.179324580852711,8.241093277195645,8.07015200126985,8.108936996647973
2021-01-25,8.113246440578875,8.12186532844068,8.209490688369028,7.952360533825185,8.06727903864925
2021-01-26,7.893464800102852,7.953797015135486,8.035676449822631,7.818767771967212,7.958106459066389
2021-01-27,7.67081019700623,7.762745000865481,7.82882314113932,7.554455210871866,7.752689631693375
2021-01-28,7.544399841699761,7.65069945866202,7.68661149141954,7.449592075219908,7.54152687907916
2021-01-29,7.3418559769473495,7.440973187358105,7.508487808942243,7.261413023570506,7.330364126464943
2021-01-30,7.142185074815539,7.215445621640881,7.277214317983815,7.041631383094485,7.035885457853281
2021-01-31,6.864944181927486,6.955442504476438,7.043067864404786,6.837651037031772,6.854888812755381
2021-02-01,6.686820499450188,6.76008104627553,6.79742956034335,6.673892167657481,6.59919513952184
2021-02-02,6.508696816972891,6.54460884973041,6.635107172279361,6.477094228146273,6.4067066439415346
2021-02-03,6.323390727944088,6.287478695186569,6.389468868217926,6.337755541047096,6.227146480153936
2021-02-04,6.146703526777091,6.041840391125134,6.217091110981831,6.106482050088668,6.047586316366336
2021-02-05,5.998745951816109,5.8263681945800165,6.038967428504531,5.9111205918877605,5.83786004506242
2021-02-06,5.860843746027234,5.780400792650389,5.9025017040259575,5.7947656057533985,5.784710236581293
2021-02-07,5.685593026170538,5.58072989051858,5.708576727135351,5.609459516724596,5.610895998034895
2021-02-08,5.518961194175645,5.411225095903086,5.543381376450759,5.4485736099709055,5.432772315557598
2021-02-09,5.350892880870452,5.2589580770112025,5.312107885492333,5.281941777976014,5.228791969494886
2021-02-10,5.12823827777383,5.145476053497441,5.165586791841651,5.0880168010854065,5.062160137499992
2021-02-11,4.973098296261344,5.033430511293978,5.017629216880669,4.927130894331719,4.971661814951044
2021-02-12,4.815085352128256,4.8955283055051035,4.83663257178277,4.7648085062677294,4.899837749436004
2021-02-13,4.598176674272837,4.754753137095625,4.658508889305472,4.576629454618327,4.704476291235096
2021-02-14,4.489004094689977,4.6484535201333665,4.553645753653514,4.464583912414865,4.527789090068099
2021-02-15,4.316626337453882,4.484694650759076,4.395632809520427,4.240492828007941,4.431544842277947
2021-02-16,4.1844700569062105,4.312316893522981,4.2534211598006495,4.114082472701471,4.289333192558169
2021-02-17,4.125574323183877,4.168668762492902,4.135629692355983,3.974743785602295,4.1830335755959105
2021-02-18,3.9919815613259035,4.068115070771847,4.013528780980416,3.8928643509151497,4.00203693049801
2021-02-19,3.9086656453284587,3.9632519351198896,3.9043562013975563,3.792310659194094,3.8842454630533454
2021-02-20,3.846896948985523,3.7563986264365754,3.8670076873297363,3.706121780576047,3.8038025096765002
2021-02-21,3.7693269582292808,3.72910548154086,3.7779458460910864,3.5524182803738626,3.7262325189202574
2021-02-22,3.6730827104391284,3.645789565543414,3.6989393740245426,3.542362911201756,3.612750495406495
2021-02-23,3.58689383182108,3.588330313131382,3.6860110422318355,3.477721252238221,3.5437993925120574
2021-02-24,3.446118663411603,3.558164205615066,3.6529719720949174,3.461919957824912,3.4619199578249127
2021-02-25,3.3498744156214495,3.5308710607193503,3.6012586449240893,3.414516074584986,3.4202619998261894
2021-02-26,3.266558499624004,3.527998098098749,3.591203275751984,3.380040523137767,3.3383825651390446
2021-02-27,3.209099247211972,3.592639757062285,3.507887359754538,3.3527473782420523,3.322581270725735
2021-02-28,3.1731872144544524,3.522252172857546,3.4705388456867174,3.2967246071403213,3.2507572052106957
2021-03-01,3.154512957420542,3.5481088364429594,3.4389362568601,3.242138317348891,3.249320723900395
2021-03-02,3.0726335227333967,3.5596006869253665,3.3800405231377675,3.191861471488363,3.256503130451899
2021-03-03,3.075506485353998,3.543799392512058,3.4102066306540837,3.115727962042422,3.2105357285222738
2021-03-04,3.0194837142522672,3.5782749439592765,3.349874415621451,3.04103093390678,3.191861471488363
2021-03-05,3.0338485273552753,3.5998221636137893,3.2967246071403213,3.028102602114073,3.1703142518338514
2021-03-06,3.0008094572183572,3.6486625281640155,3.3053434950021265,2.9835716814947486,3.1502035134896413
2021-03-07,2.9289853917033173,3.6630273412670236,3.2349559107973875,3.0266661208037724,3.1214738872836247
2021-03-08,2.8528518822573754,3.708994743196648,3.211972209832575,2.9692068683917396,3.0510863030788857
2021-03-09,2.851415400947075,3.7348514067820626,3.1616953639720466,2.928985391703319,3.010864826390463
2021-03-10,2.826995218671961,3.7520891825056717,3.1042361115600157,2.8973828028767015,2.987881125425651
2021-03-11,2.831304662602863,3.763581032988079,3.168877770523551,2.907438172048806,2.9850081628050495
