date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,128.2016475004148,124.26281574757003,128.22032175744872,127.17456336354972,124.5601673788023
2021-01-16,124.35762351404989,121.04509761249624,124.71243439769417,123.4856793586973,120.53227378471888
2021-01-17,120.64719228954294,117.28438954212878,121.5464295897912,120.12718605521403,116.99996624268924
2021-01-18,117.60041543039492,113.79230347678755,118.14915129092985,116.71985238718057,113.85263569182017
2021-01-19,114.91994130537365,111.12044823962808,115.44569346494376,113.9000395750601,111.08453620687054
2021-01-20,112.24521310559359,108.57356687646475,113.15019633108311,111.13337657142078,108.2604139508192
2021-01-21,109.3736869663023,105.47364020883566,110.4165723975807,107.95587991303543,104.85164380147542
2021-01-22,106.1387310555049,102.44553760672156,107.33244702436488,105.04700525967634,101.83646953115407
2021-01-23,103.14079456090715,99.42461741115902,104.47815866079722,102.15967782597173,99.13732114909887
2021-01-24,100.28219675340861,96.83033216475577,101.64829047950465,99.24793020999203,96.20689927608525
2021-01-25,97.60028614707701,94.28345080159247,99.25942206047442,96.81884031427337,93.39714183313689
2021-01-26,95.37661307873138,92.43469935523537,97.23829285688124,94.83218666212738,91.33148170892433
2021-01-27,93.23625592638321,90.34605553005801,94.8953918397806,92.49790453288861,89.18537863133496
2021-01-28,90.61036809115335,88.29763318156908,92.51657878992252,90.17798721675284,86.7045754084455
2021-01-29,88.49155815845968,86.12280047777371,90.43511737129667,87.948568223166,84.25393829307237
2021-01-30,86.35120100611151,84.17924126493672,88.22293615343344,85.99064419722602,82.10208929024178
2021-01-31,84.09017942369807,82.05899485093275,86.10412622073979,83.77846297936281,79.70747494597035
2021-02-01,82.23280908947913,80.55356243773751,84.35305550348309,82.00297207983103,78.0052445932639
2021-02-02,80.87102480731396,79.32968036136126,82.98552529607676,80.51046799842851,76.47395551648327
2021-02-03,79.29233184729341,77.9908797801609,81.5935749063953,78.99067077213024,74.84354922929188
2021-02-04,77.34589967183585,76.3461086798665,79.64714273093772,77.08015062943022,72.94308445576394
2021-02-05,75.41095934686068,74.7300672057781,77.56855427493248,75.17393993066106,71.13168152347463
2021-02-06,73.53922419953875,72.99623426424505,76.01571797849732,73.0637488858292,68.8965166046466
2021-02-07,71.42616019208627,71.28251206105621,74.08365061614276,71.09433300940681,67.04920163959979
2021-02-08,69.73829465248285,69.79719038620517,72.46042673550286,69.34326229215013,65.36851850654786
2021-02-09,68.3463442628014,68.48568294990055,71.21643392078236,68.07053985122364,63.830047023215684
2021-02-10,66.63118557830222,67.12102570511482,69.71100150758713,66.33814339100087,62.32748757264107
2021-02-11,64.786743575876,65.4590168290968,68.12656262232537,64.74795858049791,60.63818555172735
2021-02-12,63.23103431682026,64.23226179009991,66.5464331809945,63.14197247558163,58.85694872695435
2021-02-13,61.97842261423797,63.17357506440823,65.32829702985943,61.696872277419025,57.6847799777489
2021-02-14,61.36073565080863,63.17357506440822,65.10133298283192,61.286038622673,56.86311266825687
2021-02-15,60.770341832275015,63.42639577502117,65.13006260903792,60.72293794903509,56.50973826592288
2021-02-16,60.882387374478476,64.09579606562133,65.4776910861307,60.54481426655779,56.70653620543407
2021-02-17,61.03321791206006,64.7422126552567,66.00918917094201,60.73155683689689,56.781233233569715
2021-02-18,61.42825027239277,65.61272032929898,66.78776204112502,60.68989887889816,56.86023970563626
2021-02-19,61.54316877721683,66.80930926077954,68.03175485584552,61.02172606157767,57.19637633224665
2021-02-20,61.633667099765766,67.96854967819226,68.69540922120449,61.35642620687775,57.384555383896064
2021-02-21,61.57046192211255,68.61927571175855,69.0732038058136,60.95421143999352,57.60290054306178
2021-02-22,61.553224146388935,69.2843665584278,69.4438159838712,61.0964230897133,57.423340379274165
2021-02-23,61.37079101998074,69.78857149834339,69.86039556385843,61.352116762946835,57.52820351492612
2021-02-24,61.80173541307097,70.87455136893078,71.0785317149935,61.77875171210618,57.73649330491973
2021-02-25,62.058865567614816,72.1860588052354,71.96196772082848,62.35334423622649,58.06401104366832
2021-02-26,62.479754591532945,73.10684332513821,72.95170334362572,62.9265002790365,58.52081210034398
2021-02-27,63.050037671722365,74.3652009529617,74.26033781730976,63.24827209254387,59.060929073017085
2021-02-28,63.354571709506125,75.72554875381657,75.61493969292339,63.90187108873074,59.23761627418408
2021-03-01,63.8243010979745,77.09020599860231,76.80290973654216,64.25237252844414,59.58668123258716
2021-03-02,64.32850603789005,78.545361565937,78.25231937863565,64.86718652925288,59.89408823299154
2021-03-03,65.15304631000272,80.16140304002539,79.73045864693518,66.01637157749352,60.55917907966079
2021-03-04,66.50621170430607,82.28595889796028,81.93114801431598,67.07793126580579,61.33200602460263
2021-03-05,67.93263764543475,84.54410751775312,84.80554711622786,68.57330830982892,61.85775818417271
2021-03-06,69.56160745131587,86.84822353947558,87.99740858771624,70.57863621900883,62.587490689805534
2021-03-07,71.57699072966786,89.90936521172657,91.0729150730702,72.47048210467497,63.776897214734575
2021-03-08,73.32662496561422,92.6947024723998,94.34378301662514,74.60365685047164,64.84420282828806
2021-03-09,75.52587785168474,95.46998436390095,98.0398494280291,76.64346031109876,65.87990585301495
2021-03-10,77.63894185913722,98.52538011091072,102.16111430728202,78.65740710814048,66.9012440646388
2021-03-11,79.72902216562484,102.11801986797302,106.72194246748703,81.31058808826604,68.0317548558455
2021-03-12,81.9728059723147,106.01806662543964,111.62608966085395,83.79713723639672,69.55011560083345
2021-03-13,84.20509792852214,110.17093409351924,116.19984615285168,86.41440618376474,70.76394230803763
2021-03-14,86.181696211496,114.14424139781121,121.11548519670097,88.69984794845332,72.07832270696285
2021-03-15,88.41973409294467,118.42064625857671,125.76968464207555,91.03556655900242,73.4357975451971
2021-03-16,90.73390548383922,122.44853985266013,130.60200776992738,93.61117754837171,74.63238647667767
