date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-03-23,250.8125097411389,250.8125097411389,261.8418132416284
2021-03-24,253.23154426768548,253.23154426768548,265.5019676202748
2021-03-25,255.32737049941434,255.32737049941434,268.6923926104528
2021-03-26,257.4691641330728,257.4691641330728,271.8598338996661
2021-03-27,258.9674141397165,258.9674141397165,274.55754580041105
2021-03-28,259.82499348196603,259.82499348196603,276.7093948032416
2021-03-29,261.15086573137376,261.15086573137376,280.16556883582524
2021-03-30,262.4149692844384,262.4149692844384,283.062951638702
2021-03-31,262.7755260933239,262.7755260933239,285.78221075910136
2021-04-01,262.84160423359776,262.84160423359776,288.48997802901846
2021-04-02,261.6608165965305,261.6608165965305,288.98412759976185
2021-04-03,263.17774086020813,263.17774086020813,292.02228557104803
2021-04-04,264.5596358807175,264.5596358807175,295.3190101781884
2021-04-05,262.6390603688453,262.6390603688453,294.72717987834443
2021-04-06,262.4307705788517,262.4307705788517,296.83018851662484
2021-04-07,261.7556243630104,261.7556243630104,297.9606993078315
2021-04-08,260.7788170720058,260.7788170720058,299.82237908598137
2021-04-09,261.5573899421889,261.5573899421889,303.76121083882606
2021-04-10,261.1738494323385,261.1738494323385,304.811278676656
2021-04-11,257.8153561288553,257.8153561288553,302.88639372085294
2021-04-12,254.49708430206047,254.49708430206047,302.1681530657026
2021-04-13,249.15768327167234,249.15768327167234,298.8326434631842
2021-04-14,245.3553172433062,245.3553172433062,296.8474262923484
2021-04-15,240.42674986766417,240.42674986766417,291.9332237298094
2021-04-16,234.19242098095873,234.19242098095873,286.8638811857579
2021-04-17,226.98703072848997,226.98703072848997,281.1711057530358
2021-04-18,222.78963233979104,222.78963233979104,277.4261989770817
2021-04-19,217.0551989490703,217.0551989490703,272.5148693771633
2021-04-20,211.36960592289978,211.36960592289978,267.74862438958525
2021-04-21,204.78190263386034,204.51471711014437,261.85043212949023
2021-04-22,197.37827796057005,196.7921935859673,255.74969600464274
2021-04-23,189.86404422638662,188.99210007103403,248.04297377487902
2021-04-24,184.9067472245386,183.8451875362263,243.13595361889153
2021-04-25,179.1665679085766,177.68124623372563,237.7204190790575
2021-04-26,172.41079630623196,170.7416050236625,231.4602335287667
2021-04-27,164.4383250340626,162.50625767170806,222.76952160144685
2021-04-28,157.51161215579216,155.3396524146174,215.23948657285013
2021-04-29,149.9456650944379,147.79381609160734,207.5844776702572
2021-04-30,142.5578417155609,140.81826284878667,200.61754331529838
2021-05-01,136.71710870787788,134.83962763531477,194.7538266066505
2021-05-02,130.97405642929533,129.31348403458762,188.98204470186192
2021-05-03,123.53595620455783,121.37979775779635,179.86613430669314
2021-05-04,117.58317765467136,115.1167392448849,173.79125484543104
2021-05-05,110.92221381880658,108.35809467991967,166.7941543829559
2021-05-06,104.34312941762896,101.37392254923721,159.19804121408532
2021-05-07,99.26804094833626,95.36512122824902,153.2998489539903
2021-05-08,94.4788122597934,90.33887312350654,147.7952525729176
2021-05-09,90.12627388958202,85.37439371510702,142.2734184161214
2021-05-10,84.92190210236224,79.69885605810859,136.36804374947485
2021-05-11,79.77355308624422,73.87105138221825,130.06332727856469
2021-05-12,74.86222348632577,68.5057936882448,124.10767576605758
2021-05-13,69.82879297503182,63.33302448985166,117.67798542115123
2021-05-14,65.20906908110447,58.282356202834066,111.73526224043684
2021-05-15,61.81179078224311,54.445514623020664,107.2764242532632
2021-05-16,58.73915725950971,51.25796259546321,103.41085304724378
2021-05-17,54.69546237101297,47.33062269310083,98.37454957332916
2021-05-18,50.72502802934158,43.24096040267448,93.4560375668593
2021-05-19,47.28321880986089,39.59517083713106,88.92681199548088
2021-05-20,44.872803171176166,36.881657641972865,85.59130239296246
2021-05-21,41.62922837251698,33.770239123861344,81.46285510715796
2021-05-22,39.392626972378636,31.578168644342345,78.2781760422211
2021-05-23,37.17326334796392,29.36455094516883,75.30178676727787
2021-05-24,34.32184794701685,26.382415744984378,71.1604111496807
2021-05-25,31.716070850131203,23.811114199545962,67.78898951440473
2021-05-26,29.344440206824604,21.417936336584845,64.57845378588246
2021-05-27,27.132258988961382,19.228738819686434,61.33344250591298
2021-05-28,25.214556439709828,17.183189433818107,58.36279915621093
2021-05-29,23.61575274134504,15.689248871105287,56.12188831214169
2021-05-30,22.197945688078164,14.35763069645645,54.04042689351585
2021-05-31,20.856272144257222,13.19982676035401,51.9575289935797
