date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-03-23,108.6734023275307,108.6734023275307,120.66873950919742
2021-03-24,113.04102375150026,113.04102375150026,125.45437699446452
2021-03-25,117.86975567607632,117.86975567607632,131.30875657459538
2021-03-26,122.61229872203441,122.61229872203441,137.5445219426111
2021-03-27,127.72329922408464,127.72329922408464,143.31271264412393
2021-03-28,132.3322495081847,132.3322495081847,148.94515586181336
2021-03-29,137.33335918999694,137.33335918999694,155.34683482116884
2021-03-30,141.34976093359796,141.34976093359796,160.1863403555722
2021-03-31,143.51741123084182,143.51741123084182,164.211360987035
2021-04-01,145.43295905812795,145.43295905812795,167.04482037160335
2021-04-02,146.31208562003204,146.31208562003204,168.40875937573395
2021-04-03,145.59240848357132,145.59240848357132,169.25556510815625
2021-04-04,144.59908165749832,144.59908165749832,169.21247066884726
2021-04-05,142.97657601751362,142.97657601751362,168.53373324973012
2021-04-06,142.15778167064212,142.15778167064212,169.10904401450563
2021-04-07,142.14485333884943,142.14485333884943,170.0959066746822
2021-04-08,143.55619622621995,143.55619622621995,173.6986018009166
2021-04-09,147.75790405884976,147.75790405884976,179.84602356834887
2021-04-10,151.0546286659901,151.0546286659901,185.85338840802677
2021-04-11,154.87064126680417,154.87064126680417,192.67739287261068
2021-04-12,160.08075897926514,160.08075897926514,200.96876299566685
2021-04-13,166.43503405538067,166.43503405538067,210.10909357311075
2021-04-14,175.34911882645224,175.34911882645224,223.43389420746098
2021-04-15,180.744542627942,180.744542627942,232.13035206002192
2021-04-16,181.03112064934703,181.03112064934703,234.96381144459025
2021-04-17,182.4144521511667,182.4144521511667,237.42450392913548
2021-04-18,183.4508734165487,183.4508734165487,240.45619773452526
2021-04-19,185.35564763400754,185.35564763400754,244.07613063648333
2021-04-20,187.014783547405,187.014783547405,248.40281234310933
2021-04-21,186.637707203451,186.637707203451,250.0878049200922
2021-04-22,183.78270059922818,183.78270059922818,247.81888269047204
2021-04-23,182.40798798527032,182.26362161358512,247.90722629105554
2021-04-24,182.7678265535007,182.66224517719357,250.80748205655283
2021-04-25,184.11237305994223,184.13822972352762,255.09322404583526
2021-04-26,182.41660687313214,182.4790938101302,254.89068018108287
2021-04-27,178.65446232145436,178.8376136885177,252.22744383178514
2021-04-28,173.394786003788,173.8041831772237,247.50429328351615
2021-04-29,171.15172043775334,170.95995018282815,246.6100836678539
2021-04-30,168.24930995029058,168.32472521908136,244.89061553942392
2021-05-01,165.28656724779523,165.318888077277,242.9233543849669
2021-05-02,160.8629230527239,160.32639728332657,238.54495935117015
2021-05-03,157.5640437236181,156.5664074536142,235.89896077759607
2021-05-04,154.94605653559492,153.40327560833188,233.53738550346156
2021-05-05,151.94021939379053,149.93201852199005,231.34387854263232
2021-05-06,146.43059532813186,144.57322499391293,225.83856392090448
2021-05-07,142.19872138798573,139.87377638726386,221.90188689002517
2021-05-08,137.30103836051512,134.305974828538,216.7930411099404
2021-05-09,131.63411959137852,128.9213246368755,210.3741243748613
2021-05-10,126.0124499835164,123.17468115501715,204.49819757507595
2021-05-11,119.97060959239124,117.3159921309554,197.5772306220467
2021-05-12,113.33622066076705,110.34546657272081,189.39575131922857
2021-05-13,107.48184108063617,104.50832476831351,182.21621773034522
2021-05-14,102.06702478145735,98.77245489628247,175.07546913683996
2021-05-15,96.0510410539176,92.69829367567557,167.47361004272815
2021-05-16,90.61898697901518,86.61982301113775,159.9902606567162
2021-05-17,85.37870315903788,81.33213530792054,153.03697287420522
2021-05-18,80.61030344949441,75.99273427753252,146.43921421599367
2021-05-19,75.48852933761694,70.79123545293334,139.5678058681698
2021-05-20,71.18554957261094,65.90432603529007,133.70049795624624
2021-05-21,67.03770978911739,61.35139852229169,128.20811166631114
2021-05-22,62.90279833741655,57.02256209370025,122.51964567752002
2021-05-23,59.03291768746622,52.89411480789579,117.64997403560035
2021-05-24,55.69740808494778,48.91218861574198,112.70704184685533
2021-05-25,52.396374033876555,45.21037627909685,108.0830085089971
2021-05-26,48.763512800125845,41.04314399791424,103.25858602835186
2021-05-27,45.682260389530654,37.81106104973746,98.37814077660492
2021-05-28,42.624709920555425,34.725499195211356,93.73040549712671
2021-05-29,39.82141664350342,31.530046520447257,89.19471575985196
2021-05-30,37.46199609133437,28.765538238773377,84.98438903936034
2021-05-31,34.92804305996378,26.3544043594335,81.25456531716434
