date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-03-23,161.80115055996603,161.80115055996603,174.52221862075837
2021-03-24,168.25300375937422,168.25300375937422,181.89957620723175
2021-03-25,175.17273944270886,175.17273944270886,189.72839934837106
2021-03-26,181.57123762202008,181.57123762202008,198.19132638220026
2021-03-27,188.89318807223898,188.89318807223898,206.22330902293928
2021-03-28,195.76982931626466,195.76982931626466,213.8694938260546
2021-03-29,201.66761115312823,201.66761115312823,221.8809553052179
2021-03-30,206.66861822913253,206.66861822913253,228.94023488726745
2021-03-31,210.30702017650867,210.30702017650867,233.88378271085978
2021-04-01,211.76402264838518,211.76402264838518,237.02146831578824
2021-04-02,211.80711708769422,211.80711708769422,238.2609464749621
2021-04-03,210.11822549001195,210.11822549001195,238.31224937890136
2021-04-04,207.30477423798004,207.30477423798004,237.83410631418695
2021-04-05,205.2280326865166,205.2280326865166,236.1985697366016
2021-04-06,203.01174723633824,203.01174723633824,235.14583414776695
2021-04-07,201.6368294107646,201.6368294107646,235.9789933077414
2021-04-08,203.075362837223,203.075362837223,239.5907177450691
2021-04-09,208.61607646266887,208.61607646266887,248.15419847061938
2021-04-10,212.97271906519546,212.97271906519546,255.6464745619168
2021-04-11,217.26369395067968,217.26369395067968,263.22699164798985
2021-04-12,223.6252540391546,223.6252540391546,273.4383216480709
2021-04-13,232.3713731027288,232.3713731027288,285.9316048153726
2021-04-14,244.0479140393167,244.0479140393167,302.5927358987043
2021-04-15,251.5094083882506,251.5094083882506,314.6140323497643
2021-04-16,251.42116739347486,251.42116739347486,317.43979629874167
2021-04-17,252.42260007837032,252.42260007837032,320.90582048888183
2021-04-18,254.08891839831924,254.08891839831924,324.62835919871844
2021-04-19,255.62595340034102,255.62595340034102,329.9125583044677
2021-04-20,258.32038191523384,258.32038191523384,336.1345744942277
2021-04-21,257.48311852294427,257.48311852294427,339.42206457865893
2021-04-22,253.10185052652685,253.10185052652685,336.64555141746325
2021-04-23,250.07908342642244,249.86361122987734,335.48610578843477
2021-04-24,250.04830168405888,250.10370882031333,338.5191334693271
2021-04-25,251.34729121180226,251.1892782676692,344.74935812371746
2021-04-26,249.9046535530288,249.79999562899263,344.9402049263717
2021-04-27,244.49732747782505,243.67648101479608,339.83659204248863
2021-04-28,237.07071910357,236.12264143877147,332.36278499660943
2021-04-29,233.3256071160001,232.16410937081397,330.58360028799405
2021-04-30,229.88420831975094,228.9074010287464,328.1456862927978
2021-05-01,225.29567659141864,223.608837109894,324.1871542248403
2021-05-02,219.10444214402224,216.53724483089897,317.6039655913475
2021-05-03,213.36262113513422,210.55943046389012,312.52292598519784
2021-05-04,208.48679314474182,205.6589770796068,309.2149147391909
2021-05-05,203.77923867927035,200.09774229258522,304.4560573697801
2021-05-06,195.3019468323381,191.524000986247,294.9834891864253
2021-05-07,188.89113595608143,184.1281743543555,288.0309196445694
2021-05-08,181.624592642117,176.21316233459817,280.21030496806037
2021-05-09,172.89899474011844,168.08678235061083,269.94972418019756
2021-05-10,165.28153956320912,159.38786195866078,260.72340993575136
2021-05-11,156.46975278259254,150.34829028455363,250.01957205785286
2021-05-12,146.6380642716624,140.3278070871268,237.9264515412778
2021-05-13,138.82155382746853,131.7704827100492,227.32521947125795
2021-05-14,130.82445716140828,123.54970538281356,217.42581112712793
2021-05-15,122.42104149614862,114.9000357786452,206.6008983959327
2021-05-16,115.17091511144477,106.5479230173249,196.32800491112448
2021-05-17,107.7874011764987,99.44349687980869,186.79592535919983
2021-05-18,101.38069453255717,92.79464052927361,177.60449708943239
2021-05-19,94.304998021247,85.48500277600014,167.74818318461138
2021-05-20,88.4113204166986,79.258882353925,159.45968602417582
2021-05-21,82.75979251874377,73.85155627872129,151.49337110047912
2021-05-22,77.15341117625553,68.14462124451202,143.57835908072178
2021-05-23,71.91025439365764,63.032799895998764,136.83510538693835
2021-05-24,67.09598988799242,58.15902402176394,129.6075522799678
2021-05-25,62.57107376054493,53.7285052375648,123.12696945435364
2021-05-26,57.80811215881901,49.24052720095359,116.64638662873949
2021-05-27,53.89883087864329,45.304568410729416,110.84710636743945
2021-05-28,50.13730196181279,41.37887020129312,104.78310312181253
2021-05-29,46.41681536813373,37.557829915893,98.8401747294824
2021-05-30,42.91590520331494,34.32574696771622,93.21327222541844
2021-05-31,39.92186772941658,31.17574866584234,88.41337253285619
