date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-03-23,232.36378027294583,232.36378027294583,261.25429238571536
2021-03-24,234.13352524723638,234.13352524723638,264.581183100372
2021-03-25,235.8012800484956,235.8012800484956,267.68685569324236
2021-03-26,236.95333805935692,236.95333805935692,270.612968122325
2021-03-27,238.45589750993142,238.45589750993142,273.1038267143866
2021-03-28,239.03623595929295,239.03623595929295,275.2427473854244
2021-03-29,240.0805578718817,240.0805578718817,278.3857684923626
2021-03-30,241.07891238254072,241.07891238254072,280.9556335564908
2021-03-31,241.44377863535706,241.44377863535706,283.798430069576
2021-04-01,242.19362187933413,242.19362187933413,286.1298392361942
2021-04-02,240.9208994384076,240.9208994384076,287.2330568825052
2021-04-03,241.36908160722143,241.36908160722143,290.0945276526244
2021-04-04,242.83572902503855,242.83572902503855,293.2605324605273
2021-04-05,241.2211240322605,241.2211240322605,292.33831145931424
2021-04-06,240.9625573964063,240.9625573964063,294.6524828502088
2021-04-07,240.0173526942284,240.0173526942284,295.85338122562024
2021-04-08,238.87104060860838,238.87104060860838,297.16632514323516
2021-04-09,240.16818323181005,240.16818323181005,300.7733297134004
2021-04-10,239.85359382485413,239.85359382485413,301.9727916075017
2021-04-11,236.78526974605168,236.78526974605168,300.1182942359033
2021-04-12,234.11485099020248,234.11485099020248,300.22603033417585
2021-04-13,229.69767096102754,229.69767096102754,296.2225569223675
2021-04-14,226.25873470416744,226.25873470416744,293.9026396062318
2021-04-15,221.0443075477756,221.0443075477756,290.43210076054504
2021-04-16,214.89904050230876,214.89904050230876,285.2478397116695
2021-04-17,208.78968548959952,208.78968548959952,279.5392629845342
2021-04-18,204.73593523193068,204.73593523193068,276.5657466722115
2021-04-19,198.4355282049514,198.4355282049514,270.9318669732118
2021-04-20,192.37070411286146,192.37070411286146,267.1812142720164
2021-04-21,186.40930667511319,186.30731650208182,261.60479382542877
2021-04-22,179.84171412441793,179.60325822690797,254.0991789791071
2021-04-23,172.77709904035868,172.6822912738788,246.6380950534048
2021-04-24,167.88300721616386,167.59858391672427,241.77991526196757
2021-04-25,162.3812837977118,162.0494566150323,236.06559260959094
2021-04-26,156.27911119155405,155.85822216763592,229.68474262923482
2021-04-27,149.02344409322478,148.3382425082113,220.38496262634757
2021-04-28,142.40270173404843,141.2808098307035,212.91956925671428
2021-04-29,135.81930788893987,134.20613937747208,205.45704884970164
2021-04-30,129.3853081001026,127.03666115776083,198.14104953633975
2021-05-01,123.99993966778494,121.5234458888264,191.95699749549487
2021-05-02,119.27822560082625,116.00304821334045,185.64653509934348
2021-05-03,112.69770471833834,108.74307167108024,177.06499575160655
2021-05-04,107.24482166443651,102.68973942947271,170.61088522442506
2021-05-05,101.19005294151867,96.61055052427976,163.59798346753666
2021-05-06,95.11086403632572,90.47533884798507,156.2360167522451
2021-05-07,90.34605553005801,85.45196370586322,149.92986380002458
2021-05-08,86.31816193597456,81.04914848979129,144.5373129611554
2021-05-09,81.77169858887257,76.85175010109238,139.3803450571756
2021-05-10,76.88766213384987,71.77235218786878,133.14027024522895
2021-05-11,72.44606192239982,67.15550125656203,127.33975871423432
2021-05-12,68.0561750381206,62.317432203468954,121.13415945373491
2021-05-13,63.429268737641756,57.53538592147761,114.86822797820288
2021-05-14,58.83683798861011,52.90847962099876,109.25014957361644
2021-05-15,55.458233946782656,49.581588906342134,104.53130846927837
2021-05-16,52.746157232934756,46.556359266848666,100.27788730947775
2021-05-17,49.131970256217976,42.950791177993686,95.42114399935075
2021-05-18,45.42010255040072,39.286327355416354,90.42075255819368
2021-05-19,42.04724443381447,36.02982422496446,86.05815881881017
2021-05-20,39.50179955196147,33.48868878704236,82.53303368333204
2021-05-21,36.82850783349169,30.72920818995454,78.38447565918335
2021-05-22,34.838981218725095,28.728189724705533,75.66234357616335
2021-05-23,32.885366636716014,26.767392736144952,72.78507151163086
2021-05-24,30.19340066121233,24.127140087812098,68.92955567478354
2021-05-25,27.781548541217305,21.784239070711504,65.61272032929901
2021-05-26,25.82506099658762,19.755927460566788,62.42660478305186
2021-05-27,23.894430115543358,17.92441378993328,59.66856066727433
2021-05-28,22.01694904298022,16.1474864090912,56.913389514117405
2021-05-29,20.617816246747257,14.751226575478828,54.76010402997653
2021-05-30,19.32067362354564,13.655191335719326,53.04638182678768
2021-05-31,18.062315995722145,12.501696843547785,50.92469893147341
