date,0
2020-09-15,0.0075
2020-09-16,0.008
2020-09-17,0.0086
2020-09-18,0.0087
2020-09-19,0.0093
2020-09-20,0.0106
2020-09-21,0.0109
2020-09-22,0.0115
2020-09-23,0.0114
2020-09-24,0.012
2020-09-25,0.0131
2020-09-26,0.0134
2020-09-27,0.0129
2020-09-28,0.0142
2020-09-29,0.0135
2020-09-30,0.0148
2020-10-01,0.0157
2020-10-02,0.0168
2020-10-03,0.0163
2020-10-04,0.0164
2020-10-05,0.0182
2020-10-06,0.0191
2020-10-07,0.0206
2020-10-08,0.0221
2020-10-09,0.0246
2020-10-10,0.0267
2020-10-11,0.0278
2020-10-12,0.0286
2020-10-13,0.0312
2020-10-14,0.032
2020-10-15,0.0349
2020-10-16,0.0365
2020-10-17,0.0391
2020-10-18,0.0426
2020-10-19,0.0466
2020-10-20,0.0528
2020-10-21,0.0604
2020-10-22,0.0703
2020-10-23,0.0773
2020-10-24,0.0802
2020-10-25,0.0842
2020-10-26,0.0906
2020-10-27,0.0936
2020-10-28,0.0967
2020-10-29,0.094
2020-10-30,0.0914
2020-10-31,0.0889
2020-11-01,0.0885
2020-11-02,0.0875
2020-11-03,0.0838
2020-11-04,0.0778
2020-11-05,0.0735
2020-11-06,0.069
2020-11-07,0.0655
2020-11-08,0.0618
2020-11-09,0.0583
2020-11-10,0.0563
2020-11-11,0.0549
2020-11-12,0.0538
2020-11-13,0.0535
2020-11-14,0.0529
2020-11-15,0.0513
2020-11-16,0.0488
2020-11-17,0.0463
2020-11-18,0.0437
2020-11-19,0.0414
2020-11-20,0.0388
2020-11-21,0.0364
2020-11-22,0.035
2020-11-23,0.0334
2020-11-24,0.0319
2020-11-25,0.0311
2020-11-26,0.0307
2020-11-27,0.0308
2020-11-28,0.0313
2020-11-29,0.0311
2020-11-30,0.0311
2020-12-01,0.0321
2020-12-02,0.0331
2020-12-03,0.0344
2020-12-04,0.0356
2020-12-05,0.0359
2020-12-06,0.0372
2020-12-07,0.0387
2020-12-08,0.0403
2020-12-09,0.0409
2020-12-10,0.0423
2020-12-11,0.0433
2020-12-12,0.0453
2020-12-13,0.0462
2020-12-14,0.0477
2020-12-15,0.0488
2020-12-16,0.0505
2020-12-17,0.0507
2020-12-18,0.0508
2020-12-19,0.0511
2020-12-20,0.052
2020-12-21,0.0524
2020-12-22,0.053
2020-12-23,0.0541
2020-12-24,0.0519
2020-12-25,0.0493
2020-12-26,0.0478
2020-12-27,0.0468
2020-12-28,0.0466
2020-12-29,0.0464
2020-12-30,0.0455
2020-12-31,0.0437
2021-01-01,0.0418
2021-01-02,0.0407
2021-01-03,0.0395
2021-01-04,0.037
2021-01-05,0.0348
2021-01-06,0.0323
2021-01-07,0.0324
2021-01-08,0.0335
2021-01-09,0.0325
2021-01-10,0.0319
2021-01-11,0.0306
2021-01-12,0.0297
2021-01-13,0.0293
2021-01-14,0.029
2021-01-15,0.0284
2021-01-16,0.0283
2021-01-17,0.028
2021-01-18,0.0282
2021-01-19,0.0278
2021-01-20,0.0271
2021-01-21,0.0273
2021-01-22,0.0285
2021-01-23,0.029
2021-01-24,0.0285
2021-01-25,0.0278
2021-01-26,0.0266
2021-01-27,0.0256
2021-01-28,0.0246
2021-01-29,0.0235
2021-01-30,0.023
2021-01-31,0.0225
2021-02-01,0.022
2021-02-02,0.021
2021-02-03,0.0207
2021-02-04,0.0197
2021-02-05,0.0177
2021-02-06,0.0168
2021-02-07,0.0167
2021-02-08,0.0163
2021-02-09,0.0159
2021-02-10,0.015
2021-02-11,0.0146
2021-02-12,0.0146
2021-02-13,0.0144
2021-02-14,0.0144
2021-02-15,0.0147
2021-02-16,0.0149
2021-02-17,0.0152
2021-02-18,0.0153
2021-02-19,0.0155
2021-02-20,0.0157
2021-02-21,0.0159
2021-02-22,0.0161
2021-02-23,0.0159
2021-02-24,0.0157
2021-02-25,0.0156
2021-02-26,0.0156
2021-02-27,0.0158
2021-02-28,0.0159
2021-03-01,0.0157
2021-03-02,0.0157
2021-03-03,0.0153
2021-03-04,0.0154
2021-03-05,0.0157
2021-03-06,0.016
2021-03-07,0.0165
2021-03-08,0.0171
2021-03-09,0.0178
2021-03-10,0.0193
2021-03-11,0.0205
2021-03-12,0.0213
2021-03-13,0.0219
2021-03-14,0.022
2021-03-15,0.0218
2021-03-16,0.0223
2021-03-17,0.0226
2021-03-18,0.0227
2021-03-19,0.0231
2021-03-20,0.0228
2021-03-21,0.0231
2021-03-22,0.0233
2021-03-23,0.0243
2021-03-24,0.0246
2021-03-25,0.0253
2021-03-26,0.0256
2021-03-27,0.0262
2021-03-28,0.0262
2021-03-29,0.0268
2021-03-30,0.0263
2021-03-31,0.0262
2021-04-01,0.0259
2021-04-02,0.0251
2021-04-03,0.0249
2021-04-04,0.0247
2021-04-05,0.0233
2021-04-06,0.0227
2021-04-07,0.0215
2021-04-08,0.0206
2021-04-09,0.0198
2021-04-10,0.0192
2021-04-11,0.0183
2021-04-12,0.0182
2021-04-13,0.0172
2021-04-14,0.0166
2021-04-15,0.0156
2021-04-16,0.0153
2021-04-17,0.0146
2021-04-18,0.0146
2021-04-19,0.0139
2021-04-20,0.0136
2021-04-21,0.0129
2021-04-22,0.0125
2021-04-23,0.0119
2021-04-24,0.0117
2021-04-25,0.0112
2021-04-26,0.0108
2021-04-27,0.0102
2021-04-28,0.01
2021-04-29,0.0094
2021-04-30,0.0093
2021-05-01,0.0091
2021-05-02,0.0089
2021-05-03,0.0087
2021-05-04,0.0087
2021-05-05,0.0079
2021-05-06,0.0073
