date,spring_baseline,spring_strict_home_office_continue_testing,spring_strict_home_office_reduce_testing,spring_normal_home_office_reduce_testing
2021-01-01,155.8531944830499,155.8531944830499,155.8531944830499,155.8531944830499
2021-01-02,157.2559184825586,157.2559184825586,157.2559184825586,157.2559184825586
2021-01-03,158.9049990267839,158.9049990267839,158.9049990267839,158.9049990267839
2021-01-04,157.88940674040126,157.88940674040126,157.88940674040126,157.88940674040126
2021-01-05,153.62090252684243,153.62090252684243,153.62090252684243,153.62090252684243
2021-01-06,153.0854541184278,153.0854541184278,153.0854541184278,153.0854541184278
2021-01-07,155.40932175816693,155.40932175816693,155.40932175816693,155.40932175816693
2021-01-08,157.02967267618624,157.02967267618624,157.02967267618624,157.02967267618624
2021-01-09,157.88940674040126,157.88940674040126,157.88940674040126,157.88940674040126
2021-01-10,158.40223056817862,158.40223056817862,158.40223056817862,158.40223056817862
2021-01-11,157.5532701137909,157.5532701137909,157.5532701137909,157.5532701137909
2021-01-12,155.8122547657063,155.8122547657063,155.8122547657063,155.8122547657063
2021-01-13,153.9268730459365,153.9268730459365,153.9268730459365,153.9268730459365
2021-01-14,151.09987782726458,151.09987782726458,151.09987782726458,151.09987782726458
2021-01-15,148.00138764094572,148.00138764094572,148.00138764094572,148.00138764094572
2021-01-16,145.56224237605502,145.56224237605502,145.56224237605502,145.56224237605502
2021-01-17,142.40557469666905,142.40557469666905,142.40557469666905,142.40557469666905
2021-01-18,139.17780119242315,139.17780119242315,139.17780119242315,139.17780119242315
2021-01-19,136.85501091366677,136.85501091366677,136.85501091366677,136.85501091366677
2021-01-20,133.83624544006966,133.83624544006966,133.83624544006966,133.83624544006966
2021-01-21,130.97477466995048,130.97477466995048,130.97477466995048,130.97477466995048
2021-01-22,128.19949277844933,128.19949277844933,128.19949277844933,128.19949277844933
2021-01-23,125.23459535398851,125.23459535398851,125.23459535398851,125.23459535398851
2021-01-24,122.24599598790772,122.24599598790772,122.24599598790772,122.24599598790772
2021-01-25,119.66463907329717,119.66463907329717,119.66463907329717,119.66463907329717
2021-01-26,117.223339086441,117.223339086441,117.223339086441,117.223339086441
2021-01-27,115.03629629150802,115.03629629150802,115.03629629150802,115.03629629150802
2021-01-28,112.94837070698581,112.94837070698581,112.94837070698581,112.94837070698581
2021-01-29,110.52861793978416,110.52861793978416,110.52861793978416,110.52861793978416
2021-01-30,107.85676270262468,107.85676270262468,107.85676270262468,107.85676270262468
2021-01-31,105.59645936086638,105.59645936086638,105.59645936086638,105.59645936086638
2021-02-01,103.70245875323478,103.70245875323478,103.70245875323478,103.70245875323478
2021-02-02,102.10150033290456,102.10150033290456,102.10150033290456,102.10150033290456
2021-02-03,100.34540193106184,100.34540193106184,100.34540193106184,100.34540193106184
2021-02-04,98.05493248178722,98.05493248178722,98.05493248178722,98.05493248178722
2021-02-05,96.10059965912299,96.10059965912299,96.10059965912299,96.10059965912299
2021-02-06,93.98897213298082,93.98897213298082,93.98897213298082,93.98897213298082
2021-02-07,91.67264602012081,91.67264602012081,91.67264602012081,91.67264602012081
2021-02-08,89.78510957838556,89.78510957838556,89.78510957838556,89.78510957838556
2021-02-09,87.86094286323765,87.86094286323765,87.86094286323765,87.86094286323765
2021-02-10,86.410814980489,86.410814980489,86.410814980489,86.410814980489
2021-02-11,84.22377218555604,84.22377218555604,84.22377218555604,84.22377218555604
2021-02-12,82.36209240740621,82.36209240740621,82.36209240740621,82.36209240740621
2021-02-13,80.71588482580151,80.71588482580151,80.71588482580151,80.71588482580151
2021-02-14,78.73569533955188,78.73569533955188,78.73569533955188,78.73569533955188
2021-02-15,76.94081194233104,76.94081194233104,76.94081194233104,76.94081194233104
2021-02-16,75.83543957405456,75.83543957405456,75.83543957405456,75.83543957405456
2021-02-17,74.02331840111012,74.02331840111012,74.02331840111012,74.02331840111012
2021-02-18,72.77573438311389,72.77573438311389,72.77573438311389,72.77573438311389
2021-02-19,71.96555892410424,71.96555892410424,71.96555892410424,71.96555892410424
2021-02-20,70.95930376623853,70.95930376623853,70.95930376623853,70.95930376623853
2021-02-21,70.5714538124573,70.5714538124573,70.5714538124573,70.5714538124573
2021-02-22,69.99614304768184,69.99614304768184,69.99614304768184,69.99614304768184
2021-02-23,70.03492804305998,70.03492804305998,70.03492804305998,70.03492804305998
2021-02-24,70.18791330260699,70.18791330260699,70.18791330260699,70.18791330260699
2021-02-25,69.96166749623464,69.96166749623464,69.96166749623464,69.96166749623464
2021-02-26,69.23121674994667,69.23121674994667,69.23121674994667,69.23121674994667
2021-02-27,69.12563537363957,69.12563537363957,69.12563537363957,69.12563537363957
2021-02-28,68.73994014182381,68.73994014182381,68.73994014182381,68.73994014182381
2021-03-01,68.0741310544994,68.0741310544994,68.0741310544994,68.0741310544994
2021-03-02,67.81556441864527,67.81556441864527,67.81556441864527,67.81556441864527
2021-03-03,68.04181022501763,68.04181022501763,68.04181022501763,68.04181022501763
2021-03-04,69.05022010484878,69.05022010484878,69.05022010484878,69.05022010484878
2021-03-05,70.45940827025387,70.45940827025387,70.45940827025387,70.45940827025387
2021-03-06,71.52384092118675,71.52384092118675,71.52384092118675,71.52384092118675
2021-03-07,73.12695406348243,73.12695406348243,73.12695406348243,73.12695406348243
2021-03-08,75.25366464338273,75.25366464338273,75.25366464338273,75.25366464338273
2021-03-09,77.30711467645773,77.30711467645773,77.30711467645773,77.30711467645773
2021-03-10,79.63205967717956,79.63205967717956,79.63205967717956,79.63205967717956
2021-03-11,81.1532933847881,81.1532933847881,81.1532933847881,81.1532933847881
2021-03-12,83.36188339937557,83.36188339937557,83.36188339937557,83.36188339937557
