date,summer_baseline,summer_strict_home_office_continue_testing,summer_strict_home_office_reduce_testing,summer_normal_home_office_reduce_testing
2021-06-01,0.430086813747988,0.430086813747988,0.430086813747988,0.430086813747988
2021-06-02,0.4338080185823222,0.4338080185823222,0.4338080185823222,0.4338080185823222
2021-06-03,0.43618137300320126,0.43618137300320126,0.43618137300320126,0.43618137300320126
2021-06-04,0.43847568503998086,0.43847568503998086,0.43847568503998086,0.43847568503998086
2021-06-05,0.44014953770440235,0.44014953770440235,0.44014953770440235,0.44014953770440235
2021-06-06,0.4414151208332166,0.4414151208332166,0.4414151208332166,0.4414151208332166
2021-06-07,0.44285668113100735,0.44285668113100735,0.44285668113100735,0.44285668113100735
2021-06-08,0.4468258636818227,0.4468258636818227,0.4468258636818227,0.4468258636818227
2021-06-09,0.4509965435181499,0.4509965435181499,0.4509965435181499,0.4509965435181499
2021-06-10,0.4556187915149511,0.4556187915149511,0.4556187915149511,0.4556187915149511
2021-06-11,0.46048969442656534,0.46048969442656534,0.46048969442656534,0.46048969442656534
2021-06-12,0.4655758232807857,0.4655758232807857,0.4655758232807857,0.4655758232807857
2021-06-13,0.47082946637694906,0.47082946637694906,0.47082946637694906,0.47082946637694906
2021-06-14,0.4760830479096273,0.4760830479096273,0.4760830479096273,0.4760830479096273
2021-06-15,0.4813366910057904,0.4813366910057904,0.4813366910057904,0.4813366910057904
2021-06-16,0.4865903341019533,0.4865903341019533,0.4865903341019533,0.4865903341019533
2021-06-17,0.49184397719811673,0.49184397719811673,0.49184397719811673,0.49184397719811673
2021-06-18,0.49709762029427973,0.49709762029427973,0.49709762029427973,0.49709762029427973
2021-06-19,0.502351201826958,0.502351201826958,0.502351201826958,0.502351201826958
2021-06-20,0.5076047833596362,0.5076047833596362,0.5076047833596362,0.5076047833596362
2021-06-21,0.5128584264557995,0.5128584264557995,0.5128584264557995,0.5128584264557995
2021-06-22,0.5181120079884778,0.5181120079884778,0.5181120079884778,0.5181120079884778
2021-06-23,0.5233656510846408,0.5233656510846408,0.5233656510846408,0.5233656510846408
2021-06-24,0.5286192941808039,0.5286192941808039,0.5286192941808039,0.5286192941808039
2021-06-25,0.5338728757134825,0.5338728757134825,0.5338728757134825,0.5338728757134825
2021-06-26,0.5391265188096455,0.5391265188096455,0.5391265188096455,0.5391265188096455
2021-06-27,0.5443801619058084,0.5443801619058084,0.5443801619058084,0.5443801619058084
2021-06-28,0.5496338050019716,0.5496338050019716,0.5496338050019716,0.5496338050019716
2021-06-29,0.554887448098135,0.554887448098135,0.554887448098135,0.554887448098135
2021-06-30,0.5601410296308132,0.5601410296308132,0.5601410296308132,0.5601410296308132
2021-07-01,0.5653946111634914,0.5653946111634914,0.5653946111634914,0.5653946111634914
2021-07-02,0.5706482542596547,0.5706482542596547,0.5706482542596547,0.5706482542596547
2021-07-03,0.5759018973558178,0.5759018973558178,0.5759018973558178,0.5759018973558178
2021-07-04,0.5811555404519808,0.5811555404519808,0.5811555404519808,0.5811555404519808
2021-07-05,0.586409121984659,0.586409121984659,0.586409121984659,0.586409121984659
2021-07-06,0.5916627650808224,0.5916627650808224,0.5916627650808224,0.5916627650808224
2021-07-07,0.5969164081769853,0.5969164081769853,0.5969164081769853,0.5969164081769853
2021-07-08,0.6021700512731484,0.6021700512731484,0.6021700512731484,0.6021700512731484
2021-07-09,0.6074236328058266,0.6074236328058266,0.6074236328058266,0.6074236328058266
2021-07-10,0.6126772143385053,0.6126772143385053,0.6126772143385053,0.6126772143385053
2021-07-11,0.6179307958711835,0.6179307958711835,0.6179307958711835,0.6179307958711835
2021-07-12,0.6231844389673464,0.6231844389673464,0.6231844389673464,0.6231844389673464
2021-07-13,0.6284380205000246,0.6284380205000246,0.6284380205000246,0.6284380205000246
2021-07-14,0.633691663596188,0.633691663596188,0.633691663596188,0.633691663596188
2021-07-15,0.6389453066923511,0.6389453066923511,0.6389453066923511,0.6389453066923511
2021-07-16,0.6441989497885141,0.6441989497885141,0.6441989497885141,0.6441989497885141
2021-07-17,0.649452592884677,0.649452592884677,0.649452592884677,0.649452592884677
2021-07-18,0.6547062359808404,0.6547062359808404,0.6547062359808404,0.6547062359808404
2021-07-19,0.6599598175135186,0.6599598175135186,0.6599598175135186,0.6599598175135186
2021-07-20,0.6652134606096818,0.6652134606096818,0.6652134606096818,0.6652134606096818
2021-07-21,0.67046704214236,0.67046704214236,0.67046704214236,0.67046704214236
2021-07-22,0.6757206236750386,0.6757206236750386,0.6757206236750386,0.6757206236750386
2021-07-23,0.6809742667712015,0.6809742667712015,0.6809742667712015,0.6809742667712015
2021-07-24,0.68622784830388,0.68622784830388,0.68622784830388,0.68622784830388
2021-07-25,0.6914814298365585,0.6914814298365585,0.6914814298365585,0.6914814298365585
