date,spring_baseline,spring_strict_home_office_continue_testing,spring_strict_home_office_reduce_testing,spring_normal_home_office_reduce_testing
2021-01-01,9.547573028914215,9.547573028914215,9.547573028914215,9.547573028914215
2021-01-02,9.819067996561063,9.819067996561063,9.819067996561063,9.819067996561063
2021-01-03,9.743652727770272,9.743652727770272,9.743652727770272,9.743652727770272
2021-01-04,9.758735781528433,9.758735781528433,9.758735781528433,9.758735781528433
2021-01-05,9.788901889044746,9.788901889044746,9.788901889044746,9.788901889044746
2021-01-06,9.8416925771983,9.8416925771983,9.8416925771983,9.8416925771983
2021-01-07,9.844924660146477,9.844924660146477,9.844924660146477,9.844924660146477
2021-01-08,9.866471879800992,9.866471879800992,9.866471879800992,9.866471879800992
2021-01-09,9.872936045697346,9.872936045697346,9.872936045697346,9.872936045697346
2021-01-10,9.926804094833624,9.926804094833624,9.926804094833624,9.926804094833624
2021-01-11,9.791056611010198,9.791056611010198,9.791056611010198,9.791056611010198
2021-01-12,9.635916629497714,9.635916629497714,9.635916629497714,9.635916629497714
2021-01-13,9.681165790772187,9.681165790772187,9.681165790772187,9.681165790772187
2021-01-14,9.627297741635909,9.627297741635909,9.627297741635909,9.627297741635909
2021-01-15,9.707022454357602,9.707022454357602,9.707022454357602,9.707022454357602
2021-01-16,9.661773293083126,9.661773293083126,9.661773293083126,9.661773293083126
2021-01-17,9.683320512737641,9.683320512737641,9.683320512737641,9.683320512737641
2021-01-18,9.691939400599445,9.691939400599445,9.691939400599445,9.691939400599445
2021-01-19,9.788901889044748,9.788901889044748,9.788901889044748,9.788901889044748
2021-01-20,9.564810804637824,9.564810804637824,9.564810804637824,9.564810804637824
2021-01-21,9.489395535847033,9.489395535847033,9.489395535847033,9.489395535847033
2021-01-22,9.308398890749134,9.308398890749134,9.308398890749134,9.308398890749134
2021-01-23,9.192043904614767,9.192043904614767,9.192043904614767,9.192043904614767
2021-01-24,9.049832254894989,9.049832254894989,9.049832254894989,9.049832254894989
2021-01-25,8.93778671269153,8.93778671269153,8.93778671269153,8.93778671269153
2021-01-26,8.661982301113778,8.661982301113778,8.661982301113778,8.661982301113778
2021-01-27,8.500378153704938,8.500378153704938,8.500378153704938,8.500378153704938
2021-01-28,8.34523817219245,8.34523817219245,8.34523817219245,8.34523817219245
2021-01-29,8.12761125368188,8.12761125368188,8.12761125368188,8.12761125368188
2021-01-30,7.927222110894922,7.927222110894922,7.927222110894922,7.927222110894922
2021-01-31,7.612632703939049,7.612632703939049,7.612632703939049,7.612632703939049
2021-02-01,7.431636058841148,7.431636058841148,7.431636058841148,7.431636058841148
2021-02-02,7.451028556530209,7.451028556530209,7.451028556530209,7.451028556530209
2021-02-03,7.358375512015809,7.358375512015809,7.358375512015809,7.358375512015809
2021-02-04,7.181688310848811,7.181688310848811,7.181688310848811,7.181688310848811
2021-02-05,7.054559714887191,7.054559714887191,7.054559714887191,7.054559714887191
2021-02-06,6.9123480651674125,6.9123480651674125,6.9123480651674125,6.9123480651674125
2021-02-07,6.882181957651096,6.882181957651096,6.882181957651096,6.882181957651096
2021-02-08,6.729196698104062,6.729196698104062,6.729196698104062,6.729196698104062
2021-02-09,6.477094228146273,6.477094228146273,6.477094228146273,6.477094228146273
2021-02-10,6.28963341715202,6.28963341715202,6.28963341715202,6.28963341715202
2021-02-11,6.173278431017656,6.173278431017656,6.173278431017656,6.173278431017656
2021-02-12,6.067697054710547,6.067697054710547,6.067697054710547,6.067697054710547
2021-02-13,5.903938185336257,5.903938185336257,5.903938185336257,5.903938185336257
2021-02-14,5.679847100929332,5.679847100929332,5.679847100929332,5.679847100929332
2021-02-15,5.552718504967714,5.552718504967714,5.552718504967714,5.552718504967714
2021-02-16,5.376031303800716,5.376031303800716,5.376031303800716,5.376031303800716
2021-02-17,5.240283819977291,5.240283819977291,5.240283819977291,5.240283819977291
2021-02-18,5.139011887601085,5.139011887601085,5.139011887601085,5.139011887601085
2021-02-19,4.951551076606832,4.951551076606832,4.951551076606832,4.951551076606832
2021-02-20,4.845969700299724,4.845969700299724,4.845969700299724,4.845969700299724
2021-02-21,4.716686382372652,4.716686382372652,4.716686382372652,4.716686382372652
2021-02-22,4.5852483424801305,4.5852483424801305,4.5852483424801305,4.5852483424801305
2021-02-23,4.509833073689339,4.509833073689339,4.509833073689339,4.509833073689339
2021-02-24,4.365466702004109,4.365466702004109,4.365466702004109,4.365466702004109
2021-02-25,4.29220615517877,4.29220615517877,4.29220615517877,4.29220615517877
2021-02-26,4.171541725113503,4.171541725113503,4.171541725113503,4.171541725113503
2021-02-27,4.016401743601018,4.016401743601018,4.016401743601018,4.016401743601018
2021-02-28,3.9711525823265426,3.9711525823265426,3.9711525823265426,3.9711525823265426
2021-03-01,3.9711525823265426,3.9711525823265426,3.9711525823265426,3.9711525823265426
2021-03-02,3.887118425673946,3.887118425673946,3.887118425673946,3.887118425673946
2021-03-03,3.8267862106413135,3.8267862106413135,3.8267862106413135,3.8267862106413135
2021-03-04,3.6716462291288274,3.6716462291288274,3.6716462291288274,3.6716462291288274
2021-03-05,3.6414801216125112,3.6414801216125112,3.6414801216125112,3.6414801216125112
2021-03-06,3.6263970678543522,3.6263970678543522,3.6263970678543522,3.6263970678543522
2021-03-07,3.505732637789086,3.505732637789086,3.505732637789086,3.505732637789086
2021-03-08,3.4066154273783313,3.4066154273783313,3.4066154273783313,3.4066154273783313
2021-03-09,3.443245700791001,3.443245700791001,3.443245700791001,3.443245700791001
2021-03-10,3.3527473782420514,3.3527473782420514,3.3527473782420514,3.3527473782420514
