date,fall_baseline
2020-09-20,0.19
2020-09-27,0.23
2020-10-04,0.27
2020-10-11,0.4
2020-10-18,0.62
2020-10-25,1.15
2020-11-01,1.8
2020-11-08,2.92
2020-11-15,4.14
2020-11-22,5.16
2020-11-29,5.86
2020-12-06,6.24
2020-12-13,6.63
2020-12-20,7.23
2020-12-27,7.92
2021-01-03,8.58
