date,fall_baseline
2020-09-20,35.37
2020-09-27,41.69
2020-10-04,61.79
2020-10-11,103.31
2020-10-18,165.43
2020-10-25,254.2
2020-11-01,366.78
2020-11-08,433.27
2020-11-15,443.33
2020-11-22,467.03
2020-11-29,497.83
2020-12-06,541.68
2020-12-13,607.73
2020-12-20,657.63
2020-12-27,678.84
2021-01-03,651.55
