date,fall_baseline
2020-09-20,13.37
2020-09-27,17.41
2020-10-04,24.97
2020-10-11,37.42
2020-10-18,56.66
2020-10-25,84.42
2020-11-01,113.56
2020-11-08,145.52
2020-11-15,146.74
2020-11-22,149.36
2020-11-29,151.97
2020-12-06,157.34
2020-12-13,173.77
2020-12-20,191.87
2020-12-27,194.67
2021-01-03,164.11
