date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,0.0010577222310976246,0.0,0.0010577222310976246,0.0,0.0010577222310976246
2021-01-16,0.0016697248327704893,0.0,0.0016697248327704893,0.0,0.0016697248327704893
2021-01-17,0.0023374423881214485,0.0,0.0023374423881214485,0.0,0.0023374423881214485
2021-01-18,0.0031238543420264047,0.0,0.0031238543420264047,0.0,0.0031238543420264047
2021-01-19,0.0040562948817042255,0.0,0.0040562948817042255,0.0,0.0040562948817042255
2021-01-20,0.004931419817101044,0.0,0.004931419817101044,0.0,0.004931419817101044
2021-01-21,0.005772192328020096,0.0,0.005772192328020096,0.0,0.005772192328020096
2021-01-22,0.0065682081855424936,0.0,0.0065682081855424936,0.0,0.0065682081855424936
2021-01-23,0.007334858260850028,0.0,0.007334858260850028,0.0,0.007334858260850028
2021-01-24,0.008091165670723396,0.0,0.008091165670723396,0.0,0.008091165670723396
2021-01-25,0.008819400131561166,0.0,0.008819400131561166,0.0,0.008819400131561166
2021-01-26,0.009488102702667763,0.0,0.009488102702667763,0.0,0.009488102702667763
2021-01-27,0.01010484569266462,0.0,0.01010484569266462,0.0,0.01010484569266462
2021-01-28,0.010683973393493177,0.0,0.010683973393493177,0.0,0.010683973393493177
2021-01-29,0.011231334336202499,0.0,0.011231334336202499,0.0,0.011231334336202499
2021-01-30,0.01177124609725984,0.0,0.01177124609725984,0.0,0.01177124609725984
2021-01-31,0.012310788477408815,0.0,0.012310788477408815,0.0,0.012310788477408815
2021-02-01,0.012860796649961419,0.0,0.012860796649961419,0.0,0.012860796649961419
2021-02-02,0.013434691454588152,0.0,0.013434691454588152,0.0,0.013434691454588152
2021-02-03,0.014030810677201407,0.0,0.014030810677201407,0.0,0.014030810677201407
2021-02-04,0.014654017833094616,0.0,0.014654017833094616,0.0,0.014654017833094616
2021-02-05,0.015304743866660872,0.0,0.015304743866660872,0.0,0.015304743866660872
2021-02-06,0.015974369890038375,0.0,0.015974369890038375,0.0,0.015974369890038375
2021-02-07,0.016647505032045328,0.0,0.016647505032045328,0.0,0.016647505032045328
2021-02-08,0.017310790016495936,0.0,0.017310790016495936,0.0,0.017310790016495936
2021-02-09,0.017966810509748733,0.0,0.017966810509748733,0.0,0.017966810509748733
2021-02-10,0.018642161937205862,0.0,0.018642161937205862,0.0,0.018642161937205862
2021-02-11,0.019339676219164777,0.0,0.019339676219164777,0.0,0.019339676219164777
2021-02-12,0.0200591686651713,0.0,0.0200591686651713,0.0,0.0200591686651713
2021-02-13,0.02080427152082431,0.0,0.02080427152082431,0.0,0.02080427152082431
2021-02-14,0.021569690326437303,0.0,0.021569690326437303,0.0,0.021569690326437303
2021-02-15,0.022365706183959708,0.0,0.022365706183959708,0.0,0.022365706183959708
2021-02-16,0.023200260782921298,0.0,0.023200260782921298,0.0,0.023200260782921298
2021-02-17,0.02406584337818541,0.0,0.02406584337818541,0.0,0.02406584337818541
2021-02-18,0.02496066862869493,0.0,0.02496066862869493,0.0,0.02496066862869493
2021-02-19,0.025889538486258565,0.0,0.025889538486258565,0.0,0.025889538486258565
2021-02-20,0.02684217184892691,0.0,0.02684217184892691,0.0,0.02684217184892691
2021-02-21,0.027824170993810102,0.0,0.027824170993810102,0.0,0.027824170993810102
2021-02-22,0.02885566718041396,0.0,0.02885566718041396,0.0,0.02885566718041396
2021-02-23,0.02993081187768938,0.0,0.02993081187768938,0.0,0.02993081187768938
2021-02-24,0.031045849713067994,0.0,0.031045849713067994,0.0,0.031045849713067994
2021-02-25,0.03223020803224942,0.0,0.03223020803224942,0.0,0.03223020803224942
2021-02-26,0.033490658818553634,0.0,0.033490658818553634,0.0,0.033490658818553634
2021-02-27,0.03480651674111231,0.0,0.03480651674111231,0.0,0.03480651674111231
2021-02-28,0.036168793531155284,0.0,0.036168793531155284,0.0,0.036168793531155284
2021-03-01,0.03761350382724795,0.0,0.03761350382724795,0.0,0.03761350382724795
2021-03-02,0.03915850103996117,0.0,0.03915850103996117,0.0,0.03915850103996117
2021-03-03,0.04080341578838661,0.0,0.04080341578838661,0.0,0.04080341578838661
2021-03-04,0.04253482723285376,0.0,0.04253482723285376,0.0,0.04253482723285376
2021-03-05,0.044366525593941414,0.0,0.044366525593941414,0.0,0.044366525593941414
2021-03-06,0.046275793945785376,0.0,0.046275793945785376,0.0,0.046275793945785376
2021-03-07,0.0482401616164601,0.0,0.0482401616164601,0.0,0.0482401616164601
2021-03-08,0.05027064846973188,0.0,0.05027064846973188,0.0,0.05027064846973188
2021-03-09,0.05235241770578133,0.0,0.05235241770578133,0.0,0.05235241770578133
2021-03-10,0.05450929439319798,0.0,0.05450929439319798,0.0,0.05450929439319798
2021-03-11,0.0567359225088105,0.0,0.0567359225088105,0.0,0.0567359225088105
2021-03-12,0.05904984764576618,0.0,0.05904984764576618,0.0,0.05904984764576618
2021-03-13,0.06144171215438645,0.0,0.06144171215438645,0.0,0.06144171215438645
2021-03-14,0.06386577436551906,0.0,0.06386577436551906,0.0,0.06386577436551906
2021-03-15,0.06629630074254803,0.0,0.06629630074254803,0.0,0.06629630074254803
2021-03-16,0.06858209136698337,0.0,0.06858209136698337,0.0,0.06858209136698337
2021-03-17,0.0707084325659753,0.0,0.0707084325659753,0.0,0.0707084325659753
2021-03-18,0.07265814812728502,0.0,0.07265814812728502,0.0,0.07265814812728502
2021-03-19,0.07444829113618184,0.0,0.07444829113618184,0.0,0.07444829113618184
2021-03-20,0.07618388889761045,0.0,0.07618388889761045,0.0,0.07618388889761045
