date,spring_baseline
2021-01-03,156.54
2021-01-10,154.77
2021-01-17,150.3
2021-01-24,130.03
2021-01-31,112.52
2021-02-07,97.66
2021-02-14,84.04
2021-02-21,72.77
2021-02-28,66.94
2021-03-07,66.49
2021-03-14,78.15
2021-03-21,94.23
2021-03-28,115.59
2021-04-04,130.38
2021-04-11,130.19
2021-04-18,162.38
2021-04-25,165.89
2021-05-02,143.76
2021-05-09,118.05
2021-05-16,88.58
2021-05-23,61.35
2021-05-30,40.73
2021-06-06,31.11
