date,spring_baseline
2021-01-03,533.44
2021-01-10,519.89
2021-01-17,451.02
2021-01-24,380.78
2021-01-31,324.57
2021-02-07,276.87
2021-02-14,233.3
2021-02-21,202.92
2021-02-28,188.68
2021-03-07,188.92
2021-03-14,199.69
2021-03-21,213.4
2021-03-28,222.65
2021-04-04,228.02
2021-04-11,225.72
2021-04-18,203.67
2021-04-25,162.92
2021-05-02,123.12
2021-05-09,87.28
2021-05-16,58.9
2021-05-23,37.9
2021-05-30,23.55
2021-06-06,17.87
