date,spring_baseline
2021-01-03,9.51
2021-01-10,9.67
2021-01-17,9.79
2021-01-24,9.36
2021-01-31,8.58
2021-02-07,7.25
2021-02-14,6.02
2021-02-21,4.91
2021-02-28,4.17
2021-03-07,3.63
2021-03-14,3.23
2021-03-21,2.99
2021-03-28,3.02
2021-04-04,2.99
2021-04-11,3.11
2021-04-18,3.35
2021-04-25,3.36
2021-05-02,3.08
2021-05-09,2.77
2021-05-16,2.31
2021-05-23,1.78
2021-05-30,1.27
2021-06-06,0.98
