date,spring_baseline
2021-01-17,116.39
2021-01-24,114.11
2021-01-31,97.22
2021-02-07,85.65
2021-02-14,76.56
2021-02-21,68.79
2021-02-28,65.67
2021-03-07,67.38
2021-03-14,80.76
2021-03-21,99.91
2021-03-28,126.56
2021-04-04,145.78
2021-04-11,148.59
2021-04-18,188.83
2021-04-25,195.07
2021-05-02,171.82
2021-05-09,142.25
2021-05-16,108.39
2021-05-23,77.17
2021-05-30,51.55
2021-06-06,38.61
