date,spring_baseline
2021-01-17,15.45
2021-01-24,15.72
2021-01-31,14.22
2021-02-07,11.68
2021-02-14,8.98
2021-02-21,6.31
2021-02-28,4.37
2021-03-07,3.47
2021-03-14,3.08
2021-03-21,2.91
2021-03-28,2.95
2021-04-04,3.16
2021-04-11,3.5
2021-04-18,3.74
2021-04-25,3.78
2021-05-02,3.55
2021-05-09,3.26
2021-05-16,2.65
2021-05-23,2.01
2021-05-30,1.51
2021-06-06,1.21
