date,spring_baseline,spring_reduce_work_test_offers_to_23_pct_after_easter,spring_mandatory_work_rapid_tests_after_easter,spring_10_pct_less_work_in_person_after_easter,spring_10_pct_more_work_in_person_after_easter
2021-04-06,240.9625573964063,241.50842029432062,234.75695813590693,240.6091829940723,240.9912870226123
2021-04-07,240.0173526942284,241.20532273784718,232.66687782941924,239.48010868417592,240.11216046070825
2021-04-08,238.87104060860838,240.54597781641908,229.74220188164682,238.06230163090902,238.93568226757188
2021-04-09,240.16818323181005,242.5541786882196,226.98415776586933,238.81358135619632,240.59338169965903
2021-04-10,239.85359382485413,243.13308065627086,223.79229629438092,238.55070527641135,240.63360317634746
2021-04-11,236.78526974605168,240.66520576517408,218.22162177303446,235.3444789918199,237.88274146712146
2021-04-12,234.11485099020248,240.1753656383615,208.67476698477543,232.3278682401883,235.11751494479248
2021-04-13,229.69767096102754,237.03234453142335,205.17549851288268,227.79146026225837,230.97757580850555
2021-04-14,226.25873470416744,234.7770688742511,198.82912408397382,224.174400322921,227.91787061756486
2021-04-15,221.0443075477756,231.7547121973783,189.58249388956756,218.7502468952252,223.4719609621839
2021-04-16,214.89904050230876,227.07178312579765,181.39742338347367,212.81614260237262,217.35255058030253
2021-04-17,208.78968548959952,221.6691769177564,173.6217500508155,206.4625857669122,211.21159297876662
2021-04-18,204.73593523193068,218.62383653991873,167.8140561132694,202.2048551631807,206.99552033303382
2021-04-19,198.4355282049514,213.96963709454414,160.8040273190015,195.60709650496918,201.54551024175265
2021-04-20,192.37070411286146,209.1976461817249,154.3800828993364,189.58680333349852,196.20754569267487
2021-04-21,186.40930667511319,204.4572578577323,146.1921394306219,183.47170239554808,190.77620985842762
2021-04-22,179.84171412441793,198.6682381772201,139.01978824829,176.55935433038067,184.2761319293165
2021-04-23,172.77709904035868,192.96253441270534,130.51581889130932,168.94456690447618,177.13538333581127
2021-04-24,167.88300721616386,188.6976214024223,125.43642097808575,163.7315762293946,172.53146073629722
2021-04-25,162.3812837977118,184.1482850926997,119.59999741433363,158.07183986680946,167.34145376218046
2021-04-26,156.27911119155405,178.4928581740455,113.81241421513172,151.99408744292685,161.40160354408667
2021-04-27,149.02344409322478,172.39643149312894,105.3917607741485,144.59908165749832,154.1732295906531
2021-04-28,142.40270173404843,166.14630131201017,98.95345154138035,137.88209505053183,147.16320079638524
2021-04-29,135.81930788893987,159.97517760295796,92.30541603730828,130.98985772370864,140.28676476397536
2021-04-30,129.3853081001026,154.15599181492948,86.9286664928524,124.75552883700318,134.14868012506005
2021-05-01,123.99993966778494,149.37969145817937,81.96562356576318,119.5080626104744,128.81215205729262
2021-05-02,119.27822560082625,144.48559963398458,77.33871726528432,114.59529652924569,123.79308635910165
2021-05-03,112.69770471833834,138.2800003734851,71.16903003754241,107.88549232883068,116.87068292476214
2021-05-04,107.24482166443651,132.30423812263382,67.1224621864251,102.32343669534605,111.12188472093838
2021-05-05,101.19005294151867,126.68615971804745,62.19533129209337,96.14513057974233,105.1734156149828
2021-05-06,95.11086403632572,120.58829655582058,57.183448000453915,90.63909771735938,99.00085542462028
2021-05-07,90.34605553005801,115.50602567997637,53.74307526228351,85.84412310357534,93.9774802824984
2021-05-08,86.31816193597456,111.41636338955003,50.22513253335688,81.606503238188,89.57035562249557
2021-05-09,81.77169858887257,106.97045373416907,46.929844407526865,77.64325130306813,85.4045598226233
2021-05-10,76.88766213384987,101.64110807295313,43.95201865127332,73.03358277831286,80.28924987664217
2021-05-11,72.44606192239982,96.86049827227208,40.467114992483594,68.57187182851862,75.31040565513962
2021-05-12,68.0561750381206,91.84430553670174,37.110058170310644,64.55690656622788,70.5254864105277
2021-05-13,63.429268737641756,86.66004448782616,34.25720628805327,60.031990438780404,65.59404607226507
2021-05-14,58.83683798861011,81.60363027556738,31.244904980352512,55.8518298258051,61.28891158529359
2021-05-15,55.458233946782656,77.6920916676183,29.09880190276313,52.91853499017088,57.871522548088016
2021-05-16,52.746157232934756,74.85791404239485,27.274470638681123,50.13032476687704,54.81038087583703
2021-05-17,49.131970256217976,70.5800727003191,25.325165500602946,46.639675182846126,51.130115758846394
2021-05-18,45.42010255040072,66.17869396555746,22.954971338606637,43.31278446818949,47.469961380199976
2021-05-19,42.04724443381447,62.314559240848354,20.864891032118987,40.23009557628398,44.29964712836613
2021-05-20,39.50179955196147,59.42004940059225,19.451393422783006,38.04377102200619,42.17940071436216
2021-05-21,36.82850783349169,55.86619463890808,17.879882869313942,35.57302316828882,39.11538607949057
2021-05-22,34.838981218725095,53.412684560914336,16.793902998726544,33.5461480394544,37.151716128309396
2021-05-23,32.885366636716014,50.76668598734027,15.582949254142973,31.780712509094727,35.195228583679715
2021-05-24,30.19340066121233,46.54774037898685,14.134976093359777,29.32145650585977,32.435747986591885
2021-05-25,27.781548541217305,43.68626960886767,12.842142914089063,27.1839723161322,30.194837142522655
2021-05-26,25.82506099658762,40.89518642295323,11.697267309779333,25.116875710609357,27.872046863766272
2021-05-27,23.894430115543358,37.99205769483533,10.812394822634046,23.358622586801186,25.750363968452003
2021-05-28,22.01694904298022,35.36042393436428,9.742216246459954,21.484014476858654,24.035205283952855
2021-05-29,20.617816246747257,33.48150638049084,8.82286820786745,20.201236666760042,22.62170767461687
2021-05-30,19.32067362354564,31.664357522960337,8.130484216302467,18.88111034259362,21.190972289557287
2021-05-31,18.062315995722145,30.28246250245098,7.620533351145684,17.786511584144414,20.080572236694774
