date,spring_baseline,spring_reduce_work_test_offers_to_23_pct_after_easter,spring_mandatory_work_rapid_tests_after_easter,spring_10_pct_less_work_in_person_after_easter,spring_10_pct_more_work_in_person_after_easter
2021-04-06,3.3067799763124253,3.3067799763124253,3.3067799763124253,3.3067799763124253,3.3067799763124253
2021-04-07,3.308216457622726,3.308216457622726,3.308216457622726,3.308216457622726,3.308216457622726
2021-04-08,3.292415163209417,3.292415163209417,3.292415163209417,3.292415163209417,3.292415163209417
2021-04-09,3.3153988641742296,3.3153988641742296,3.3153988641742296,3.3153988641742296,3.3153988641742296
2021-04-10,3.3915323736201723,3.3915323736201723,3.3915323736201723,3.3915323736201723,3.3915323736201723
2021-04-11,3.408770149343782,3.408770149343782,3.408770149343782,3.408770149343782,3.408770149343782
2021-04-12,3.426007925067391,3.426007925067391,3.426007925067391,3.426007925067391,3.426007925067391
2021-04-13,3.4504281073425043,3.4504281073425043,3.451864588652805,3.4489916260322038,3.457610513894009
2021-04-14,3.4863401401000242,3.4963955092721295,3.4949590279618286,3.483467177479423,3.5035779158236338
2021-04-15,3.581147906579876,3.5725290187180723,3.5797114252695765,3.5825843878901775,3.579711425269575
2021-04-16,3.575401981338673,3.5639101308562666,3.579711425269575,3.579711425269576,3.5667830934768685
2021-04-17,3.529434579409048,3.5064508784442348,3.5366169859605523,3.5437993925120557,3.516506247616341
2021-04-18,3.487776621410325,3.469102364376415,3.5064508784442356,3.493522546651529,3.471975326997016
2021-04-19,3.4504281073425047,3.4461186634116023,3.4590469952043086,3.464792920445512,3.474848289617618
2021-04-20,3.417389037205586,3.4202619998261876,3.4403727381703986,3.4303173689982938,3.4346268129291952
2021-04-21,3.426007925067391,3.398714780171676,3.36998515396566,3.421698481136489,3.3972782988613752
2021-04-22,3.3786040418274648,3.35131089693175,3.319708308105133,3.3498744156214495,3.3484379343111486
2021-04-23,3.3556203408626515,3.349874415621449,3.237828873417987,3.328327195966937,3.312525901553628
2021-04-24,3.339819046449344,3.371421635275961,3.184679064936858,3.2895422005888166,3.289542200588815
2021-04-25,3.3383825651390424,3.404460705412879,3.1430211069381353,3.3039070136918243,3.265122018313703
2021-04-26,3.354183859552351,3.3972782988613752,3.108545555490916,3.3039070136918243,3.207662765901671
2021-04-27,3.298161088450621,3.3556203408626515,2.996500013287454,3.2622490556931014,3.137275181696931
2021-04-28,3.18755202755746,3.3125259015536277,2.9390407608754225,3.2047898032810687,3.098490186318809
2021-04-29,3.0726335227333963,3.2622490556931,2.812630405568953,3.151639994799939,3.030975564734673
2021-04-30,3.051086303078884,3.22490054162528,2.7695359662599293,3.104236111560013,3.0108648263904616
2021-05-01,3.0223566768728687,3.1832425836265577,2.717822639089101,3.101363148939412,3.0223566768728687
2021-05-02,3.0410309339067796,3.1458940695587367,2.681910606331581,3.09849018631881,3.0424674152170796
2021-05-03,2.9390407608754225,3.0841253732158025,2.630197279160753,3.038157971286177,3.0281026021140716
2021-05-04,2.917493541220911,3.04246741521708,2.5727380267487208,3.00799186376986,3.016610751631665
2021-05-05,2.8657802140500825,2.93473131694452,2.4879856294409746,2.9246759477724145,2.9548420552887307
2021-05-06,2.8844544710839926,2.9505326113578287,2.4405817462010475,2.8844544710839926,2.9117476159797078
2021-05-07,2.8025750363968474,2.8887639150148954,2.364448236755106,2.8140668868792535,2.8356141065337654
2021-05-08,2.7724089288805303,2.8241222560513592,2.2854417646885623,2.7163861577787998,2.747988746605418
2021-05-09,2.6230148726092484,2.743679302674515,2.173396222485101,2.5971582090238337,2.6474350548843617
2021-05-10,2.5310800687499984,2.709203751227297,2.085770862556752,2.4808032228894703,2.544008400542704
2021-05-11,2.434835820959845,2.634506723091655,2.0354940166962248,2.3745036059272118,2.4578195219246575
2021-05-12,2.3745036059272118,2.6100865408165412,1.943559212836974,2.3256632413769847,2.3745036059272113
2021-05-13,2.296933615170969,2.532516550060299,1.8947188482867472,2.2294189935868314,2.315607872204879
2021-05-14,2.194943442139613,2.4405817462010475,1.8185853388408053,2.169086778554198,2.2366014001383356
2021-05-15,2.0441129045580295,2.3486469423417975,1.7424518293948634,2.0929532691082566,2.1317382644863776
2021-05-16,1.9607969885605836,2.2093082552426204,1.613168511467792,1.9866536521459983,2.0340575353859243
2021-05-17,1.9220119931824622,2.1202464140039714,1.5643281469175654,1.930630881044267,1.9737253203532907
2021-05-18,1.847314965046821,2.0182562409726152,1.462337973886209,1.8272042267026098,1.8932823669764463
2021-05-19,1.7654355303596758,1.9363768062854703,1.4379177916110955,1.7079762779476442,1.7984746004965944
2021-05-20,1.6720642451901246,1.8444420024262191,1.3287452120282353,1.6663183199489213,1.7209046097403513
2021-05-21,1.6160414740883937,1.7467612733257656,1.22819152030718,1.538471483332151,1.6433346189841087
2021-05-22,1.544217408573354,1.6778101704313275,1.1578039361024415,1.439354272921396,1.5830024039514752
2021-05-23,1.4853216748510216,1.6404616563635064,1.110400052862515,1.3761490952681616,1.5269796328497445
2021-05-24,1.4206800158874862,1.5226701889188416,0.9882991414869478,1.3158168802355281,1.442227235541998
2021-05-25,1.3546018756136495,1.4824487122304195,0.9150385946616075,1.2727224409265043,1.3617842821651533
2021-05-26,1.281341328788309,1.3876409457505674,0.8130484216302514,1.203771338032066,1.3201263241664303
2021-05-27,1.2052078193423672,1.300015585822219,0.7555891692182196,1.0859798705874015,1.2425563334101877
2021-05-28,1.1434391229994332,1.268412996995602,0.7239865803916021,1.0400124686577759,1.190843006239359
2021-05-29,1.0945987584492063,1.1994618941011639,0.6722732532207736,0.9882991414869476,1.1104000528625149
