date,combined_baseline
2020-09-15,36.90320486162735
2020-09-16,36.053526166584426
2020-09-17,36.83952085687068
2020-09-18,37.25262894035802
2020-09-19,35.39691055964594
2020-09-20,34.049155911611386
2020-09-21,36.222312720544764
2020-09-22,37.95183621814693
2020-09-23,40.05915430035819
2020-09-24,42.35608791552915
2020-09-25,45.08252944248006
2020-09-26,46.441440762024605
2020-09-27,48.32754072244955
2020-09-28,51.48923608642159
2020-09-29,54.45556999219272
2020-09-30,57.516711664443704
2020-10-01,61.44261508549577
2020-10-02,66.72886630740268
2020-10-03,71.4548898182923
2020-10-04,76.1636755534583
2020-10-05,83.22829063751757
2020-10-06,91.11744599368953
2020-10-07,99.01091079379239
2020-10-08,107.87687344096886
2020-10-09,116.0763087601658
2020-10-10,122.85650054478553
2020-10-11,130.45835963889732
2020-10-12,139.74521130999196
2020-10-13,150.3622446744251
2020-10-14,161.01088062768486
2020-10-15,173.81423854639584
2020-10-16,185.92521247354182
2020-10-17,197.9930919613788
2020-10-18,210.81512413712363
2020-10-19,228.81567143650287
2020-10-20,247.62352123227117
2020-10-21,260.66677152980236
2020-10-22,274.7615261464737
2020-10-23,289.6463454838105
2020-10-24,298.1977187240311
2020-10-25,304.58287814831806
2020-10-26,322.97989428934034
2020-10-27,339.0138986749178
2020-10-28,361.2994697229243
2020-10-29,384.91091302033846
2020-10-30,410.77763197492476
2020-10-31,427.0644570711151
2020-11-01,445.7545153994388
2020-11-02,449.1043898150602
2020-11-03,452.6639905019856
2020-11-04,454.4883217660675
2020-11-05,452.3537105389606
2020-11-06,446.80889268119955
2020-11-07,443.41448734495884
2020-11-08,436.01804507822004
2020-11-09,442.54828911484736
2020-11-10,447.5113320419366
2020-11-11,450.24208301281845
2020-11-12,453.0705147128007
2020-11-13,455.41197924859097
2020-11-14,456.09718083360445
2020-11-15,457.5695741766628
2020-11-16,460.93955933062847
2020-11-17,463.6372712313733
2020-11-18,466.86935417955016
2020-11-19,470.02099417435005
2020-11-20,473.8391614971296
2020-11-21,476.34438490229417
2020-11-22,479.2403312238605
2020-11-23,483.4434755378007
2020-11-24,487.5575580105021
2020-11-25,491.4619142118997
2020-11-26,496.071582736655
2020-11-27,500.131078919565
2020-11-28,503.8070345926247
2020-11-29,507.05779179783536
2020-11-30,511.62867532721253
2020-12-01,515.5703800426779
2020-12-02,523.1291446974807
2020-12-03,531.2036061426813
2020-12-04,539.9058099204836
2020-12-05,547.3870045845301
