date,spring_baseline,spring_reduce_work_test_offers_to_23_pct_after_easter,spring_mandatory_work_rapid_tests_after_easter,spring_10_pct_less_work_in_person_after_easter,spring_10_pct_more_work_in_person_after_easter
2021-04-06,225.573533119154,226.337741176234,223.91439720575653,225.78182290914762,226.00735047486484
2021-04-07,224.57517860849492,226.3923274660254,222.61150865731372,224.470315472843,225.66259496039265
2021-04-08,223.2852183918448,225.94558177852187,221.18795567880565,223.0740556392306,225.08512947365173
2021-04-09,224.6584945244924,227.45101419171712,220.82596238860984,223.67306834562606,226.37078024637094
2021-04-10,224.293628271676,228.2525707628649,219.49578069527135,223.44323133597788,226.65951298974144
2021-04-11,221.2669621508722,225.79906068487122,215.46214117594673,220.40220040207112,223.78942333176036
2021-04-12,219.0619633395605,225.80480661011242,210.740427108988,218.023387352213,222.28686388118578
2021-04-13,214.90478642754996,223.00510453633618,206.58612315959815,213.60908028565873,218.37101582930583
2021-04-14,211.95712677881284,220.65933055661495,202.10717443408024,210.62550860416397,215.61440819483866
2021-04-15,207.91917781555725,217.71310738918802,196.4445651088745,206.49562483704915,211.86088253102264
2021-04-16,202.22065645759398,214.2583698379147,190.29642510078713,201.09876455424907,207.02424995923988
2021-04-17,196.53649991273377,208.86150955511462,183.90551975125894,195.16896970532744,201.02119456349286
2021-04-18,193.05877866049553,206.2643513460907,179.43088046967193,191.57632994826517,197.84800734903837
2021-04-19,187.88313649948182,202.43469217282885,173.55854487316233,186.18952503463717,192.583303346786
2021-04-20,183.3093800074841,198.30337192440373,168.04102016029694,180.7739904948032,187.91617556961873
2021-04-21,177.9527412013725,193.40066121234716,161.70039165662925,174.79822824395194,182.21909069296578
2021-04-22,171.96548710003873,188.34999292532953,154.6429589791215,168.36135549249406,175.99481717543242
2021-04-23,165.51855897940877,183.13269280631712,147.29104763300205,161.79950886704,169.56225386790553
2021-04-24,161.04391969782182,179.5486719371166,142.9428187067215,157.3018858844882,165.5357967551324
2021-04-25,155.99181492949393,175.52365130565386,137.90651523280698,152.37619147146683,160.48656494942514
2021-04-26,150.63804908600292,170.14977472381855,132.17064536077592,146.78396973046583,155.0106981945585
2021-04-27,143.7443752778694,164.3147876413767,124.6894506967294,140.1517355208071,148.38851935407186
2021-04-28,137.44827769482103,158.9854419801608,118.36462348747499,134.35696991505372,142.32800470591278
2021-04-29,131.00853198074256,153.37167301950527,112.13316756339016,128.10683973393495,136.1856106230666
2021-04-30,125.40194542663858,147.96332088622282,106.2163010462612,122.44279392741892,130.16675393290632
2021-05-01,120.83680782250262,143.4010562447075,101.03778592262684,117.79434040728559,125.17785434223165
2021-05-02,116.20846504071348,138.82299030877888,96.4884496129042,112.7479815641989,120.67592191574894
2021-05-03,109.40959899905984,132.95927360013104,90.19953443640739,106.36713158384279,114.27208823442804
2021-05-04,104.42644533362642,127.71180737360221,85.60710368737573,101.58795826447206,109.20561865299716
2021-05-05,99.05975115834264,122.5447841004503,80.4357709702929,96.21264520132648,103.89351076750482
2021-05-06,93.75769864202242,117.18958177564893,74.72863072446783,90.59025735280919,97.96658888120375
2021-05-07,89.05465883209762,112.14178645125195,70.82714748569089,86.14003825349734,93.49625904354768
2021-05-08,84.90035488270773,108.0377593477226,67.16555662573418,81.9397669021778,89.80019263214375
2021-05-09,81.04483904586041,103.92224039371084,63.50540224708776,78.15176568691462,85.78810033247365
2021-05-10,76.55296198854984,99.0022919059306,59.76480491506448,73.53635123691818,81.23301809750981
2021-05-11,72.01942697324054,94.36389375496934,55.9911685129043,69.01287159078099,76.70522900744173
2021-05-12,67.53185935986086,89.5919028421501,52.11266897509218,64.58132674850305,71.91025439365767
2021-05-13,62.99114193800006,84.35736494741406,48.61340050319943,60.54768722917843,67.2215793968359
2021-05-14,58.73484781557881,79.77642604886482,45.12849684440971,56.41923994337394,62.94086509213954
2021-05-15,55.60044559650249,76.4653366286215,42.41354716794123,53.332241607537554,59.45739791466011
2021-05-16,52.78350574700263,73.68574529318946,40.202802431388314,50.87442208561288,56.526976041646506
2021-05-17,49.403465223864856,69.65497873648543,37.33989517995882,47.724218572123256,53.04781830809797
2021-05-18,45.777786396665654,65.64001347419473,34.369251830256786,44.34705101160609,49.32876819572924
2021-05-19,42.62040047662451,62.07323038071786,31.941598415848446,41.50712746114142,46.21447671499711
2021-05-20,40.23296853890461,59.48756402217643,30.163234553696064,39.18864662631594,44.12008696457856
2021-05-21,37.46630553526528,56.44366012564905,28.05447999017451,36.61159915563632,41.43817635824698
2021-05-22,35.66208500952748,54.191257431097405,26.530373319945372,34.83610825610455,39.483125294927596
2021-05-23,33.730017647172915,51.8339916008938,24.836761855100733,32.78912238892592,37.50078108671251
2021-05-24,31.07827314835766,48.209749255004915,23.005248184467224,30.21351139955659,34.570359213698886
2021-05-25,28.94797136518159,45.29656515771491,21.091855079146562,28.16508905106766,32.31508355652665
2021-05-26,27.000102708413706,42.82294434137694,19.373823432026818,26.20860150643799,30.405999895136897
2021-05-27,25.226048290192235,40.37661666993469,17.924413789933322,24.540846705178765,28.357577546647967
2021-05-28,23.474977572935572,37.961891587319066,16.460639334736815,22.926241712400675,26.629490530356115
2021-05-29,22.101701440288007,36.10883069703104,15.284161141600464,21.578822243338532,25.223175327571642
2021-05-30,20.95538935466798,34.33477627880957,14.313099775837129,20.50002477930264,24.015094545608672
2021-05-31,19.98432798890464,32.97730144057531,13.449774508346353,19.41835435264614,22.911876899297663
