date,spring_baseline,spring_reduce_work_test_offers_to_23_pct_after_easter,spring_mandatory_work_rapid_tests_after_easter,spring_10_pct_less_work_in_person_after_easter,spring_10_pct_more_work_in_person_after_easter
2021-04-06,129.7961417548487,129.7961417548487,129.7961417548487,129.7961417548487,129.7961417548487
2021-04-07,129.97570191863628,129.1497251652133,133.4290029885994,129.96708303077446,130.0058680261526
2021-04-08,131.34179564473231,128.0206508553169,140.49649103527926,131.2872093549409,131.43660341121216
2021-04-09,134.81520745303962,129.13105090817942,146.5024193936469,134.79509671469543,135.2461518461299
2021-04-10,138.33602314458687,131.01858734991464,151.32756011494723,138.3518244390002,138.85459289760547
2021-04-11,141.58534386848729,133.29253726412082,155.0379913394542,141.74622977524098,142.67994262693648
2021-04-12,146.46076143564818,137.27015401234374,159.96368575247564,146.47799921137178,148.08398531628808
2021-04-13,152.39199276588016,141.43164036828512,167.45349930438397,152.36039017705355,154.26085495058143
2021-04-14,160.02114500488767,146.6388851181255,175.2104983800082,160.1216986966087,162.29796788171436
2021-04-15,165.05601199749194,151.24999012419102,176.1829962270819,164.9913703385284,167.69339168320417
2021-04-16,166.06154891470248,153.16338322951165,174.8413226832609,165.61623970850926,168.21770736146397
2021-04-17,166.80133678950736,155.70308218612345,173.661971527504,166.4407799806219,169.07815966633416
2021-04-18,167.964886650851,157.69117231957978,174.25523830865822,166.9780239906744,170.2445824902984
2021-04-19,169.3884396293591,159.69506374744935,175.77216257233584,168.38864863738982,171.58194659018838
2021-04-20,170.8263574209702,161.82680201193574,176.7015659801004,170.03485621899443,173.6734633779864
2021-04-21,171.23288163178532,162.45598082584746,175.2349185622833,169.99750770492668,174.09722536452512
2021-04-22,168.70467452565597,162.28791251254228,170.9168557435192,167.40753190245428,171.7413960156318
2021-04-23,166.93636603267564,162.46459971370925,168.57251824510828,165.48551990927183,170.50171264484226
2021-04-24,167.30410524811265,162.72316634956346,168.55384398807433,165.037337740458,171.011663509999
2021-04-25,168.80091877344609,163.7358856733255,169.87109734962021,166.64763328930522,172.72825867580846
2021-04-26,167.92466517416264,163.65400623863835,167.80974666933852,165.6047478580268,172.07178671700098
2021-04-27,164.89081664680734,162.06525790944568,162.90990891990253,161.86558700731382,168.69892860041472
2021-04-28,160.137499991022,160.06998536943783,155.9171179013583,157.04044628601346,164.2889309777913
2021-04-29,158.37924686721382,159.17218455049988,153.52968596363834,154.76362340918678,162.62404913915267
2021-04-30,156.24607212141717,157.67537102516644,150.5015833615243,152.68072550925064,160.6287765991449
2021-05-01,153.77388778638948,155.96164882197763,147.44906057713513,150.1984858050508,158.37206446066233
2021-05-02,149.98014064588514,153.88306036597234,142.5147472762519,145.9579929770429,154.77655174097944
2021-05-03,146.97214878211526,151.90933504561912,138.62331940664706,142.56789708473303,151.4726447272876
2021-05-04,144.47123482088156,150.62224779158953,135.32946776212734,140.34853346031827,149.29924850480253
2021-05-05,141.87694957447835,149.4515155236944,131.578815060932,137.91800708328933,146.7020902957787
2021-05-06,136.86075683890797,146.50816531888805,125.18934619271404,133.48789872232172,142.12977028509127
2021-05-07,133.15607153964223,143.8521113761419,120.78078505140093,129.63525584809497,138.7583486498153
2021-05-08,128.76905761798363,140.64732157286087,115.81486916169108,125.07299120657967,134.32105788229617
2021-05-09,123.78446747123988,136.49301762347096,110.07468984572911,120.08696457852562,129.14541572128243
2021-05-10,118.84297176380514,132.34589608063257,104.79993047430459,115.23453071232956,124.55729441618172
2021-05-11,113.70324163554892,127.57965109305454,99.22207354640665,109.87645542490759,118.86164602083906
2021-05-12,107.45311145443019,121.83372585185137,92.78376431363844,103.52720803337807,112.53825529289496
2021-05-13,102.2760328121061,116.85631811165915,88.06779617192097,98.02117517099516,106.93166873879098
2021-05-14,96.84613345916911,111.6964772450587,83.22972711882791,92.97481632790846,101.75889954039782
2021-05-15,91.52253372319439,106.32834658846463,77.94347589692099,87.67850973682945,96.55165479055749
2021-05-16,86.19462454328874,101.3983427315123,73.13700943265455,82.84762309028788,90.97379786265948
2021-05-17,81.26031124240552,96.48844961290419,68.87353290368179,78.28104900484165,86.03517511784536
2021-05-18,76.4739555164833,91.7839733216691,64.55403360360731,73.78773546622078,81.63810582701463
2021-05-19,71.78384403835119,87.51187790483456,60.25320856056673,69.16944805360374,76.80865566178339
2021-05-20,67.68556286006304,83.32166192268716,56.381891429306116,65.60122847881658,72.69313670777161
2021-05-21,64.10585143479345,79.40437738949689,52.89986073313699,62.19820425471401,68.58623664162165
2021-05-22,60.06072006498644,75.54455210871865,49.46667040151809,58.759267997853904,64.29833993037379
2021-05-23,56.58443529405851,71.9849514217933,46.342323551613866,55.48265412905779,60.92260885116691
2021-05-24,53.25467161678127,68.46700869286666,43.371680201911836,52.356870797843264,57.434832229756594
2021-05-25,50.161927355703675,65.47912756744101,40.85352846495455,49.23683339186995,54.33921500605841
2021-05-26,46.73160998670539,61.65377783811,37.90155937228642,46.02055173810649,50.926135412783694
2021-05-27,43.76240311831364,58.40876655814051,35.48396132705019,42.97952080419971,47.73858338522625
2021-05-28,41.061818254948165,55.46397987202388,33.05199846871094,40.17981873042347,45.02937963399895
2021-05-29,38.168744896002366,52.31521283984455,30.464895628859217,37.43901239036956,42.3747621725631
2021-05-30,35.75401981338673,49.314403382626196,28.381997728923075,35.10616674244107,39.787659332711385
2021-05-31,33.39531750187283,46.70575332311996,26.504516656359936,32.77044813189198,37.42895702119747
