date,spring_no_effects
2021-01-15,8.854470796694082
2021-01-16,8.80993987607476
2021-01-17,8.746734698421525
2021-01-18,8.656236375872574
2021-01-19,8.673474151596185
2021-01-20,8.616014899184153
2021-01-21,8.417780478362642
2021-01-22,8.389050852156627
2021-01-23,8.20805420705873
2021-01-24,8.179324580852711
2021-01-25,8.12186532844068
2021-01-26,7.953797015135486
2021-01-27,7.762745000865481
2021-01-28,7.65069945866202
2021-01-29,7.440973187358105
2021-01-30,7.215445621640881
2021-01-31,6.955442504476438
2021-02-01,6.76008104627553
2021-02-02,6.54460884973041
2021-02-03,6.287478695186569
2021-02-04,6.041840391125134
2021-02-05,5.8263681945800165
2021-02-06,5.780400792650389
2021-02-07,5.58072989051858
2021-02-08,5.411225095903086
2021-02-09,5.2589580770112025
2021-02-10,5.145476053497441
2021-02-11,5.033430511293978
2021-02-12,4.8955283055051035
2021-02-13,4.754753137095625
2021-02-14,4.6484535201333665
2021-02-15,4.484694650759076
2021-02-16,4.312316893522981
2021-02-17,4.168668762492902
2021-02-18,4.068115070771847
2021-02-19,3.9632519351198896
2021-02-20,3.7563986264365754
2021-02-21,3.72910548154086
2021-02-22,3.645789565543414
2021-02-23,3.588330313131382
2021-02-24,3.558164205615066
2021-02-25,3.5308710607193503
2021-02-26,3.527998098098749
2021-02-27,3.592639757062285
2021-02-28,3.522252172857546
2021-03-01,3.5481088364429594
2021-03-02,3.5596006869253665
2021-03-03,3.543799392512058
2021-03-04,3.5782749439592765
2021-03-05,3.5998221636137893
2021-03-06,3.6486625281640155
2021-03-07,3.6630273412670236
2021-03-08,3.708994743196648
2021-03-09,3.7348514067820626
2021-03-10,3.7520891825056717
2021-03-11,3.763581032988079
2021-03-12,3.825349729331013
2021-03-13,3.7937471405043954
2021-03-14,3.901483238776955
2021-03-15,3.9790532295331977
2021-03-16,4.089662290426358
2021-03-17,4.20314431394012
2021-03-18,4.289333192558169
2021-03-19,4.394196328210126
2021-03-20,4.595303711652236
2021-03-21,4.710222216476299
2021-03-22,4.810775908197356
2021-03-23,4.892655342884501
2021-03-24,5.072215506672099
2021-03-25,5.293433628458422
2021-03-26,5.4040426893515825
2021-03-27,5.562055633484671
2021-03-28,5.676974138308732
2021-03-29,5.870899115199339
2021-03-30,6.166814265121302
2021-03-31,6.379413499045821
2021-04-01,6.626488284417557
2021-04-02,6.949696579235235
2021-04-03,7.2312469160541895
2021-04-04,7.644953533420818
2021-04-05,8.044295337684439
2021-04-06,8.479549174705578
2021-04-07,8.90331116124431
2021-04-08,9.239447787854695
2021-04-09,9.733597358598168
2021-04-10,10.226310448031342
2021-04-11,10.762117976773533
2021-04-12,11.389860309374983
2021-04-13,12.030530973769133
2021-04-14,12.830651063606675
2021-04-15,13.57762134496309
2021-04-16,14.367686065628522
2021-04-17,15.299962436013738
2021-04-18,16.581303764802048
2021-04-19,18.32519207550721
2021-04-20,20.39947108758155
2021-04-21,22.511098613723714
2021-04-22,25.681412865557558
2021-04-23,29.108857271935253
2021-04-24,32.67420388410182
2021-04-25,36.22662216447568
2021-04-26,39.146988668317185
2021-04-27,41.87630315788869
2021-04-28,44.8067250309023
2021-04-29,47.20852178172523
2021-04-30,49.156390438493105
2021-05-01,51.09276724477858
2021-05-02,52.912789064929676
2021-05-03,55.07900288086327
2021-05-04,57.3055489118295
2021-05-05,59.27209182563128
2021-05-06,61.26736436563909
2021-05-07,63.83291998583629
2021-05-08,66.31228672741548
2021-05-09,68.7140834782384
2021-05-10,71.05411153271838
2021-05-11,73.24905497485798
2021-05-12,75.85770503436422
2021-05-13,78.27817604222106
2021-05-14,80.32085246546879
2021-05-15,82.40662332802552
2021-05-16,84.51394141023681
2021-05-17,86.76059817954722
2021-05-18,88.87940811224091
2021-05-19,90.73965140908041
2021-05-20,92.61713248164357
2021-05-21,94.35240190448692
2021-05-22,96.14369409843201
2021-05-23,98.01255628313334
2021-05-24,99.49069555143286
2021-05-25,100.88120945980404
2021-05-26,102.22575596624559
2021-05-27,103.39936119676129
2021-05-28,104.56147457679465
2021-05-29,105.30413541422017
2021-05-30,105.80259442889454
2021-05-31,106.33265603239553
