date,spring_no_effects
2021-01-15,181.08693820883298
2021-01-16,176.24394407696172
2021-01-17,170.64166696678868
2021-01-18,166.77548012592194
2021-01-19,162.8190001741221
2021-01-20,158.89330196468575
2021-01-21,154.5592326398925
2021-01-22,150.40574953696566
2021-01-23,145.7248725815426
2021-01-24,141.96539578086967
2021-01-25,138.01302006138494
2021-01-26,135.07028549142592
2021-01-27,131.84230677556425
2021-01-28,128.242895035182
2021-01-29,124.8014962389328
2021-01-30,121.76026009341028
2021-01-31,119.0206850230509
2021-02-01,115.99791792294653
2021-02-02,113.9868440885254
2021-02-03,111.6002329972685
2021-02-04,109.20541344138134
2021-02-05,106.61153861820962
2021-02-06,104.18593731995888
2021-02-07,101.32939162861788
2021-02-08,98.88942551726409
2021-02-09,97.32571300519382
2021-02-10,95.45213095333006
2021-02-11,93.20711587694566
2021-02-12,90.94568387130072
2021-02-13,89.23011476357006
2021-02-14,89.11109202643084
2021-02-15,89.398388288491
2021-02-16,89.70825782828447
2021-02-17,90.83897383110694
2021-02-18,91.97789829855971
2021-02-19,93.5477671591027
2021-02-20,94.56356465710113
2021-02-21,95.1135317873306
2021-02-22,96.00004596740195
2021-02-23,96.63414986009185
2021-02-24,97.78333490833249
2021-02-25,99.0248651836639
2021-02-26,100.11659097949249
2021-02-27,102.04558016761072
2021-02-28,103.59492786657798
2021-03-01,105.11349382318166
2021-03-02,107.42622873276596
2021-03-03,109.57274223358682
2021-03-04,111.75824594140161
2021-03-05,114.6394170266335
2021-03-06,117.5205881118654
2021-03-07,121.2061887308657
2021-03-08,124.52651267381808
2021-03-09,127.7565435058373
2021-03-10,131.25129732218335
2021-03-11,135.72901477800667
2021-03-12,140.41399596574485
2021-03-13,145.44578478411273
2021-03-14,150.3339254714506
2021-03-15,155.90131660694496
2021-03-16,160.485744102962
2021-03-17,166.51691349006782
2021-03-18,173.84296817260184
2021-03-19,181.54456011197163
2021-03-20,189.30976765222627
2021-03-21,198.15438829136392
2021-03-22,206.16584977052722
2021-03-23,214.5651612034717
2021-03-24,223.33590566093685
2021-03-25,233.8468446200235
2021-03-26,245.0842326988909
2021-03-27,257.1794053316235
2021-03-28,269.990766503349
2021-03-29,283.5162640979097
2021-03-30,294.441730520826
2021-03-31,304.08667646141714
2021-04-01,311.91344748639887
2021-04-02,316.2105787203557
2021-04-03,318.6546490640247
2021-04-04,318.97683130076354
2021-04-05,319.0363426693331
2021-04-06,322.29305101140085
2021-04-07,330.80933306532694
2021-04-08,352.52277412860207
2021-04-09,387.205589307736
2021-04-10,428.10426432815717
2021-04-11,474.22147073728513
2021-04-12,519.097146871082
2021-04-13,560.6914892689202
2021-04-14,602.3781768938493
2021-04-15,641.4381558370854
2021-04-16,672.8847838357273
2021-04-17,703.8635293504426
2021-04-18,735.0618512940182
2021-04-19,765.4885775623464
2021-04-20,791.9896056212386
2021-04-21,821.5031401994471
2021-04-22,855.6893432684485
2021-04-23,891.9420273081253
2021-04-24,928.4389131705534
2021-04-25,965.8551470715738
2021-04-26,1000.0618713021507
2021-04-27,1032.4134825262822
2021-04-28,1068.2947335414383
2021-04-29,1107.6522693275224
2021-04-30,1145.458405298482
2021-05-01,1185.1545402505656
2021-05-02,1224.5797958698495
2021-05-03,1262.8599706732082
2021-05-04,1297.862915972923
2021-05-05,1335.4022768433977
2021-05-06,1376.3173687930794
2021-05-07,1417.7106038074755
2021-05-08,1458.3507121920427
2021-05-09,1499.3109506971912
2021-05-10,1538.2683238325485
2021-05-11,1572.838272623016
2021-05-12,1607.2727817470834
2021-05-13,1643.2361174085422
2021-05-14,1677.9025156584155
2021-05-15,1705.0910026300949
2021-05-16,1727.1574076724726
2021-05-17,1748.6984709785113
2021-05-18,1769.182694463401
2021-05-19,1787.6886779723902
2021-05-20,1803.8429363648013
2021-05-21,1817.9471307157974
2021-05-22,1834.3496951632746
2021-05-23,1849.9170483346202
2021-05-24,1861.4150551654998
2021-05-25,1868.886810095221
2021-05-26,1865.6239454046809
2021-05-27,1855.123267026382
2021-05-28,1850.419816793226
2021-05-29,1840.1202457983688
2021-05-30,1830.5881662464446
2021-05-31,1817.1509096466593
