date,spring_educ_open_after_easter_without_tests,spring_educ_open_after_easter_with_tests,spring_baseline,spring_close_educ_after_easter
2021-04-11,3.47,3.51,3.51,3.47
2021-04-18,3.74,3.73,3.74,3.75
2021-04-25,3.7,3.86,3.78,3.7
2021-05-02,3.71,3.54,3.55,3.66
2021-05-09,3.4,3.34,3.26,3.34
2021-05-16,2.85,2.71,2.65,2.66
2021-05-23,2.33,2.1,2.01,2.09
2021-05-30,1.9,1.58,1.51,1.51
2021-06-06,1.54,1.28,1.21,1.15
