date,spring_educ_open_after_easter_without_tests,spring_educ_open_after_easter_with_tests,spring_baseline,spring_close_educ_after_easter
2021-04-11,149.51,150.21,149.48,149.4
2021-04-18,189.35,197.01,188.83,187.06
2021-04-25,204.6,213.39,195.07,191.13
2021-05-02,198.06,193.59,171.82,170.0
2021-05-09,178.68,160.12,142.25,139.61
2021-05-16,149.27,122.68,108.39,106.05
2021-05-23,118.17,89.0,77.17,75.82
2021-05-30,86.72,60.57,51.55,50.17
2021-06-06,68.24,46.4,38.61,37.47
