date,spring_educ_open_after_easter_without_tests,spring_educ_open_after_easter_with_tests,spring_baseline,spring_close_educ_after_easter
2021-04-11,265.52,261.39,260.71,264.63
2021-04-18,255.51,245.04,239.43,241.67
2021-04-25,228.84,206.14,194.12,197.02
2021-05-02,194.96,161.88,149.05,152.3
2021-05-09,155.96,118.98,106.95,110.81
2021-05-16,119.04,83.94,73.9,76.01
2021-05-23,85.03,55.46,47.8,48.82
2021-05-30,56.16,34.61,29.21,29.38
2021-06-06,43.54,26.21,21.77,21.84
