date,spring_educ_open_after_easter_without_tests,spring_educ_open_after_easter_with_tests,spring_baseline,spring_close_educ_after_easter
2021-04-11,1.02,1.02,1.02,1.02
2021-04-18,1.0,0.99,0.98,0.98
2021-04-25,0.95,0.92,0.9,0.9
2021-05-02,0.91,0.86,0.84,0.85
2021-05-09,0.87,0.82,0.8,0.81
2021-05-16,0.84,0.79,0.77,0.78
2021-05-23,0.82,0.77,0.76,0.75
