date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,0.011169143021096378,0.011334621926347429,0.011025953326170632,0.010980318144023865
2021-01-16,0.013854423291962561,0.013899431412817043,0.013569382018505206,0.01353857026921066
2021-01-17,0.01706588833213365,0.016960463116488907,0.016482250236159054,0.016896329349722895
2021-01-18,0.01988952189589699,0.019792016979927482,0.019111695123349093,0.019406117195962948
2021-01-19,0.02289338809381323,0.02268787640671334,0.02192148572738558,0.02251931625851343
2021-01-20,0.026329824800411177,0.02598478989964937,0.025338130433147706,0.025751396838384153
2021-01-21,0.03027264830054355,0.02985796102057174,0.029262915337117903,0.029211589005253523
2021-01-22,0.0345736353944269,0.03379237728518755,0.033343561234380904,0.033961473598512606
2021-01-23,0.0396700006645941,0.039000256619941255,0.03878277692149922,0.03908253935205866
2021-01-24,0.04539776929975479,0.04475050912959614,0.04456288534629811,0.044493755124003866
2021-01-25,0.05092235465529015,0.05039716248881377,0.04978166571020588,0.05025191508925644
2021-01-26,0.056720636141674635,0.05632673734314741,0.05569151829376627,0.05660214541109268
2021-01-27,0.06351460869200794,0.06303369396969825,0.06215629285251455,0.06367655273611927
2021-01-28,0.07114829399691323,0.07028414550325342,0.06919819786446527,0.07136719980955473
2021-01-29,0.07876218911774283,0.07799969444383432,0.07685314189217353,0.07900987364920116
2021-01-30,0.08789164884383777,0.08757786923753832,0.08621379860751989,0.0890523749749404
2021-01-31,0.09827637592197527,0.09688597912999507,0.09638028387706558,0.09963898039673173
2021-02-01,0.10454297138512225,0.10287975554268854,0.10214368796801962,0.1059895521731989
2021-02-02,0.11160347006950708,0.10949975804399135,0.10835670631321455,0.11257143879287712
2021-02-03,0.11878205671240255,0.1161719106971822,0.11454064019709922,0.12004549874059763
2021-02-04,0.1253769947118709,0.12321347999112407,0.12095043064560648,0.12794411507862272
2021-02-05,0.13258049264029673,0.1301840465549827,0.12673917684724514,0.13468698211860872
2021-02-06,0.1380078281642528,0.1345477706463352,0.13095082071691375,0.140205331311496
2021-02-07,0.14340259205147438,0.14043598864384504,0.1347661307978468,0.1454254368686291
2021-02-08,0.15402290186191514,0.14932562867689542,0.14415725975874624,0.1561172112596438
2021-02-09,0.16435046395623226,0.15913631644711632,0.15279975605883594,0.16535067535905473
2021-02-10,0.17430015929721906,0.16914150981318501,0.16105351330612044,0.1753646369231071
2021-02-11,0.18575073460590738,0.17832902141595833,0.1701985534724916,0.1848224928547998
2021-02-12,0.19710387740538954,0.18884786288538138,0.18030676378869187,0.19609739889188138
2021-02-13,0.2085667684995091,0.2007652845429328,0.190086877516384,0.20734906938470166
2021-02-14,0.22037690511004016,0.21171929402485054,0.2003421926283519,0.21814740169886596
2021-02-15,0.2339425023739758,0.22513036985726814,0.21224034991300297,0.23034692318496647
2021-02-16,0.24758051358871935,0.23718427031457584,0.2244595651179674,0.24454199797733253
2021-02-17,0.26196531359490355,0.24942246222106715,0.23732761846396982,0.25745295479439834
2021-02-18,0.27652328129662956,0.264304706463892,0.2513401566530515,0.2720830007068767
2021-02-19,0.2921776419236804,0.2790351268788684,0.26401184663353783,0.2876750807345514
2021-02-20,0.3097211442732499,0.2931543312382473,0.2783836956133595,0.3026326271750123
2021-02-21,0.3258999736481393,0.30814219929026065,0.29339321179369315,0.3200971933598024
2021-02-22,0.3415831405427459,0.32289476820524826,0.30714679507777976,0.33652742578216355
2021-02-23,0.3586878485376643,0.33875235052908903,0.32310347709638343,0.35159489636606733
2021-02-24,0.37590675799110407,0.3568551232828282,0.33846348859550435,0.3676039214258104
2021-02-25,0.39418337647515467,0.37338556451201854,0.3535068157242695,0.3844566393660522
2021-02-26,0.4122416173591756,0.390228794734336,0.37042742713428223,0.4004788981549517
2021-02-27,0.4296740025355406,0.4076427793817778,0.38712559117677087,0.4169127966326457
2021-02-28,0.4493141598620124,0.4261058221235983,0.40439308080695296,0.43342584568292053
2021-03-01,0.4682978520887247,0.4447429708408318,0.4215617476182457,0.451440930552635
2021-03-02,0.4866708068351534,0.4626968025952801,0.4379479278267317,0.4696833993477937
2021-03-03,0.5055633147710729,0.48054029323134106,0.4569684209421823,0.4887693283701008
2021-03-04,0.5231429247540975,0.4982857406453605,0.47500011481391297,0.5073498724707813
2021-03-05,0.5411172893145962,0.5160652238795663,0.49270274177655565,0.5254902667474542
2021-03-06,0.560060898475958,0.5348789103235837,0.5101602016200507,0.5443323842243059
2021-03-07,0.5778344995987956,0.5520883428385379,0.5278557289931253,0.5621198215252272
2021-03-08,0.5955932439208824,0.568358365804526,0.5456878630018107,0.5792338834341051
2021-03-09,0.6129221978960596,0.5866315899909207,0.5635456697815678,0.5972089551023063
2021-03-10,0.6299407548107833,0.6026116749615562,0.5797032850934154,0.6145074977245691
2021-03-11,0.646900758595234,0.6200636076948935,0.5957598720423842,0.6313042540654471
2021-03-12,0.6629630833976431,0.6370306095604538,0.6134870751972787,0.6480177188249847
2021-03-13,0.6788844343167131,0.6525864559560088,0.6306666213010956,0.6639726498748303
2021-03-14,0.6934289807021173,0.6682829881695166,0.6461633739457421,0.6802691300429073
2021-03-15,0.7083706003082497,0.6838577640423527,0.6622045147392785,0.6958207022046815
2021-03-16,0.7233205422785648,0.6981711573397152,0.6773154322162397,0.7120435130575625
2021-03-17,0.7373812656372468,0.7126207016516534,0.692188705224591,0.7258335698673656
2021-03-18,0.7510079062389714,0.7251072482552519,0.7070535150945297,0.7403644128777268
2021-03-19,0.7646046429750878,0.7378815207024639,0.7206681709331574,0.75420183806
