date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,124.26281574757003,124.26568871019063,124.5601673788023,128.2016475004148
2021-01-16,121.04509761249624,120.62133562595751,120.53227378471888,124.35762351404989
2021-01-17,117.28438954212878,116.7816210835235,116.99996624268924,120.64719228954294
2021-01-18,113.79230347678755,113.52799091569223,113.85263569182017,117.60041543039492
2021-01-19,111.12044823962808,110.71536051012326,111.08453620687054,114.91994130537365
2021-01-20,108.57356687646475,107.93576917469122,108.2604139508192,112.24521310559359
2021-01-21,105.47364020883566,104.80423991823548,104.85164380147542,109.3736869663023
2021-01-22,102.44553760672156,101.51900716157759,101.83646953115407,106.1387310555049
2021-01-23,99.42461741115902,98.42626290049996,99.13732114909887,103.14079456090715
2021-01-24,96.83033216475577,95.5691015743117,96.20689927608525,100.28219675340861
2021-01-25,94.28345080159247,93.1845425992124,93.39714183313689,97.60028614707701
2021-01-26,92.43469935523537,91.04705840948482,91.33148170892433,95.37661307873138
2021-01-27,90.34605553005801,88.90526477582631,89.18537863133496,93.23625592638321
2021-01-28,88.29763318156908,86.4934126558313,86.7045754084455,90.61036809115335
2021-01-29,86.12280047777371,84.20940737245304,84.25393829307237,88.49155815845968
2021-01-30,84.17924126493672,82.10496225286239,82.10208929024178,86.35120100611151
2021-01-31,82.05899485093275,80.02637379685713,79.70747494597035,84.09017942369807
2021-02-01,80.55356243773751,77.97076904181671,78.0052445932639,82.23280908947913
2021-02-02,79.32968036136126,76.56876328296313,76.47395551648327,80.87102480731396
2021-02-03,77.9908797801609,75.11217123431814,74.84354922929188,79.29233184729341
2021-02-04,76.3461086798665,73.0680583297601,72.94308445576394,77.34589967183585
2021-02-05,74.7300672057781,71.19201373850727,71.13168152347463,75.41095934686068
2021-02-06,72.99623426424505,69.35906358656347,68.8965166046466,73.53922419953875
2021-02-07,71.28251206105621,67.41263141110588,67.04920163959979,71.42616019208627
2021-02-08,69.79719038620517,65.6227756984711,65.36851850654786,69.73829465248285
2021-02-09,68.48568294990055,63.9851870047282,63.830047023215684,68.3463442628014
2021-02-10,67.12102570511482,62.36339960539859,62.32748757264107,66.63118557830222
2021-02-11,65.4590168290968,60.7229379490351,60.63818555172735,64.786743575876
2021-02-12,64.23226179009991,59.365463110800846,58.85694872695435,63.23103431682026
2021-02-13,63.17357506440823,57.939037169672154,57.6847799777489,61.97842261423797
2021-02-14,63.17357506440822,57.12742522935221,56.86311266825687,61.36073565080863
2021-02-15,63.42639577502117,56.858803224325975,56.50973826592288,60.770341832275015
2021-02-16,64.09579606562133,57.25527206596898,56.70653620543407,60.882387374478476
2021-02-17,64.7422126552567,57.55980610375275,56.781233233569715,61.03321791206006
2021-02-18,65.61272032929898,57.90312513691463,56.86023970563626,61.42825027239277
2021-02-19,66.80930926077954,58.170310660630584,57.19637633224665,61.54316877721683
2021-02-20,67.96854967819226,58.65153189958135,57.384555383896064,61.633667099765766
2021-02-21,68.61927571175855,58.848329839092564,57.60290054306178,61.57046192211255
2021-02-22,69.2843665584278,58.94744704950331,57.423340379274165,61.553224146388935
2021-02-23,69.78857149834339,58.98479556357113,57.52820351492612,61.37079101998074
2021-02-24,70.87455136893078,59.243362199425285,57.73649330491973,61.80173541307097
2021-02-25,72.1860588052354,59.40137514355836,58.06401104366832,62.058865567614816
2021-02-26,73.10684332513821,59.85961268154433,58.52081210034398,62.479754591532945
