date,combined_baseline
2020-09-15,36.712152847357345
2020-09-16,35.927834051933104
2020-09-17,36.435630195124446
2020-09-18,36.97987705156466
2020-09-19,35.188764417783354
2020-09-20,34.150547550763456
2020-09-21,36.08512875541104
2020-09-22,38.04592574397164
2020-09-23,40.1704816019065
2020-09-24,43.10090347492012
2020-09-25,45.71889066294331
2020-09-26,47.48791739657874
2020-09-27,49.56722409323913
2020-09-28,53.27981003971153
2020-09-29,56.57222520292095
2020-09-30,60.13829005574265
2020-10-01,63.792698509147876
2020-10-02,69.40574922914823
2020-10-03,73.73458565773966
2020-10-04,78.27889428287621
2020-10-05,85.22356317752539
2020-10-06,92.46342898144138
2020-10-07,100.02219363624415
2020-10-08,108.84147064083587
2020-10-09,116.91736856734693
2020-10-10,123.42678362497495
2020-10-11,130.40161862714044
2020-10-12,139.29846562248838
2020-10-13,149.32223220576734
2020-10-14,159.44727072142243
2020-10-15,171.24437348226772
2020-10-16,182.72473211419162
2020-10-17,194.41840822069523
2020-10-18,206.38357929484567
2020-10-19,223.16455396177952
2020-10-20,240.76001353165393
2020-10-21,254.28520330879104
2020-10-22,268.9071465663428
2020-10-23,284.5827488650002
2020-10-24,293.8243513748203
2020-10-25,302.19975565452916
2020-10-26,321.7280008274132
2020-10-27,340.78436188986353
2020-10-28,364.0984535560453
2020-10-29,389.8689282628416
2020-10-30,416.96240225642475
2020-10-31,435.3098597922417
2020-11-01,454.8381049651258
2020-11-02,459.8284410371107
2020-11-03,464.62269741023965
2020-11-04,467.63499871794045
2020-11-05,466.9799632404432
2020-11-06,462.7696365199516
2020-11-07,459.17986972551
2020-11-08,453.45046401937526
2020-11-09,461.8775816262549
2020-11-10,467.94312395900005
2020-11-11,472.5843950725818
2020-11-12,475.87034606989494
2020-11-13,479.73160783198335
2020-11-14,480.961954074256
2020-11-15,482.6921958125134
2020-11-16,486.4888159156383
2020-11-17,490.83489011995346
2020-11-18,494.0001766872012
2020-11-19,498.3785717209979
2020-11-20,502.222595707363
2020-11-21,505.85114749718275
2020-11-22,508.48206301699855
2020-11-23,514.4764995248839
2020-11-24,518.2752743499743
2020-11-25,522.9984248982432
2020-11-26,528.5145131297983
2020-11-27,533.1751767410691
2020-11-28,536.8834532436107
2020-11-29,540.9106285970389
2020-11-30,545.2717858551122
2020-12-01,550.2254916536845
2020-12-02,557.969562397516
2020-12-03,565.166333762123
2020-12-04,574.5781593072137
2020-12-05,582.84582748865
2020-12-06,591.4000736914911
2020-12-07,601.9969963175802
2020-12-08,614.136699870932
2020-12-09,622.4323794379192
2020-12-10,632.2794588200313
2020-12-11,641.0793433269338
2020-12-12,648.2502580279554
2020-12-13,655.9921740498214
2020-12-14,666.2206392198183
2020-12-15,676.0052316649321
2020-12-16,678.6533849604715
2020-12-17,681.0300432883643
2020-12-18,682.863711680963
2020-12-19,689.0262165021536
2020-12-20,693.9928506325186
2020-12-21,692.9176443717585
2020-12-22,691.4761353768718
2020-12-23,699.4593802588681
2020-12-24,706.7251027263696
2020-12-25,712.2670476215102
2020-12-26,721.8426320359752
2020-12-27,711.5128949336022
2020-12-28,700.8771873121352
2020-12-29,688.4056565761036
2020-12-30,672.5986162375539
2020-12-31,651.7990851050535
2021-01-01,629.5494260898045
2021-01-02,603.8651402616263
2021-01-03,597.3298685404128
2021-01-04,586.9462633889036
2021-01-05,575.1254586864385
2021-01-06,561.9945830289787
2021-01-07,550.5465452265368
2021-01-08,540.1500117432348
2021-01-09,528.6998192188272
2021-01-10,516.8014445256056
2021-01-11,502.70525342762386
2021-01-12,489.04862561059446
2021-01-13,477.6544558572884
2021-01-14,464.78430155764846
2021-01-15,452.37310303664964
2021-01-16,443.2909499522728
2021-01-17,434.00625300314357
2021-01-18,422.17467469085125
2021-01-19,410.420666369315
2021-01-20,399.25489714434696
2021-01-21,388.3670870529221
2021-01-22,378.65790987659904
2021-01-23,371.4676026778884
2021-01-24,364.99050844974215
2021-01-25,355.0550854670467
2021-01-26,345.9082907237064
2021-01-27,337.692335869441
2021-01-28,329.4074299122812
2021-01-29,320.0753290799122
2021-01-30,314.94924552410373
2021-01-31,309.4051459069978
2021-02-01,300.8078052648475
2021-02-02,293.0960553504978
2021-02-03,285.3972337679407
2021-02-04,277.4700116570457
2021-02-05,270.94120410172866
2021-02-06,265.12991896090676
2021-02-07,259.7797443206915
2021-02-08,251.89130720517468
2021-02-09,244.58895446426064
2021-02-10,237.56671557885517
2021-02-11,231.28570104956498
2021-02-12,223.9553369231
2021-02-13,219.3442319170345
2021-02-14,215.40540016418973
2021-02-15,210.95158986160214
2021-02-16,208.0750360377248
2021-02-17,205.2501955410183
2021-02-18,202.15386007666493
2021-02-19,201.32429211996623
2021-02-20,200.2814066886878
2021-02-21,200.0637797701773
2021-02-22,198.07497139606582
2021-02-23,195.42897282249174
2021-02-24,193.17297892466436
2021-02-25,191.81765880839552
2021-02-26,189.46901186605373
2021-02-27,188.49507753766983
2021-02-28,187.12682908960832
2021-03-01,188.31839033650283
2021-03-02,188.75579889548945
2021-03-03,190.3028892666834
2021-03-04,191.82196825232646
2021-03-05,193.09971837783903
2021-03-06,195.91593998668375
2021-03-07,199.19111737416955
2021-03-08,199.85477173952853
2021-03-09,201.61733430726758
2021-03-10,202.94464303798554
2021-03-11,203.80222238023507
2021-03-12,205.726389095383
2021-03-13,207.21961141744063
2021-03-14,208.6783581880511
2021-03-15,210.95589930553302
2021-03-16,213.25498764266945
2021-03-17,215.8643559428308
2021-03-18,219.21925804303834
2021-03-19,221.56575026341466
