date,fall_baseline
2020-09-20,13.36
2020-09-27,17.2
2020-10-04,25.03
2020-10-11,37.42
2020-10-18,57.0
2020-10-25,84.6
2020-11-01,113.55
2020-11-08,144.71
2020-11-15,147.13
2020-11-22,149.0
2020-11-29,150.92
2020-12-06,155.21
2020-12-13,170.4
2020-12-20,189.39
2020-12-27,193.03
2021-01-03,157.05
2021-01-10,152.96
2021-01-17,153.34
