date,fall_baseline
2020-09-20,35.11
2020-09-27,41.61
2020-10-04,62.04
2020-10-11,102.7
2020-10-18,165.24
2020-10-25,253.91
2020-11-01,365.05
2020-11-08,433.09
2020-11-15,443.43
2020-11-22,465.25
2020-11-29,494.53
2020-12-06,531.62
2020-12-13,597.0
2020-12-20,650.05
2020-12-27,675.12
2021-01-03,622.24
2021-01-10,531.47
2021-01-17,465.62
