date,spring_educ_open_after_easter_without_tests,spring_educ_open_after_easter_with_tests,spring_close_educ_after_easter,spring_baseline
2021-04-06,143.60934603470108,143.60934603470108,143.60934603470108,143.60934603470108
2021-04-07,142.55927819687122,142.6943074400395,142.596626710939,142.67994262693648
2021-04-08,143.55332326359934,144.27300040006006,143.5662515953921,143.84492896959046
2021-04-09,146.92187193625472,148.00210588160093,146.7480576977083,147.24508023107236
2021-04-10,150.0447823048486,151.71253710610787,149.82069122044174,150.18124802932724
2021-04-11,153.7078096461156,155.12418021807224,153.14470897247773,153.78968908080282
2021-04-12,158.4970383346585,159.92346427578715,157.68542639433852,158.6478688722401
2021-04-13,164.47280058550982,168.09560645008835,162.52062248481099,164.58771909033388
2021-04-14,172.41797871278342,179.38491306774227,168.75351489020616,172.4811838904367
2021-04-15,177.74588789268915,184.51602430813674,173.15920306889868,177.339363681874
2021-04-16,178.3046791223961,187.01550178806013,172.79864626001321,177.54765347186762
2021-04-17,178.78446388003655,190.4213989747833,172.4050503809908,178.17539580446908
2021-04-18,179.6635904419406,192.16385080417817,172.4151057501629,178.69396555748762
2021-04-19,181.96196053842195,194.11028297963577,173.40915081689096,179.5544178623578
2021-04-20,184.3235358125564,196.64854545493728,175.47768390372417,181.3399641310617
2021-04-21,185.08343442570555,196.9358417169974,175.96752403053674,181.074215088656
2021-04-22,182.96031504908103,194.29702554997488,173.03279271359216,177.9283210190973
2021-04-23,182.49345862323318,192.84043350132987,171.0705592437213,176.21747177852907
2021-04-24,184.77890038792182,193.19955382890507,171.5072495620527,176.6024487696897
2021-04-25,188.38734143939737,195.58842224793526,173.42495211130435,178.08346100060982
2021-04-26,188.858507309176,194.84863437313032,172.39068556788777,177.02477427491806
2021-04-27,186.30588002077155,190.91698502683707,168.71760285744858,172.96958753593896
2021-04-28,182.2736769827572,185.57040158989759,163.14549185479183,167.23371766390792
2021-04-29,182.1745597723465,183.78054587726268,160.72502084693502,164.71556592695063
2021-04-30,181.38305857037076,181.27963191602902,158.6220122086546,161.70182813793957
2021-05-01,180.3171894381276,177.69848400944917,155.46031684468258,157.85062174502312
2021-05-02,177.5375981026955,173.08306955945272,150.61219242241742,152.76978735048925
2021-05-03,176.16575845135824,169.53208776038915,146.95634748770192,148.72752894330284
2021-05-04,174.68618270174844,165.35049066610355,143.42978587091346,145.38052749030197
2021-05-05,172.41079630623202,160.45065291666756,138.98243973422223,142.0162882615775
2021-05-06,167.3543820939732,153.99797887079643,132.78833232420521,136.3795355999572
2021-05-07,163.94848490725002,148.41868546158813,127.61412664450175,131.66500393955
2021-05-08,159.40920396669952,142.30358452363765,121.82941640792048,126.40460938122851
2021-05-09,153.98217757638312,135.41565664074537,115.0003842587505,120.43602953692871
2021-05-10,148.27647381186839,129.4815523478928,109.10937440520694,114.75905539861998
2021-05-11,143.01033332830568,123.27738956870368,103.26145899097244,108.79191203563049
2021-05-12,136.93689034835396,116.04326969002888,97.33453710467134,102.09647264831848
2021-05-13,131.2412419530113,110.17237057482953,91.61015908312271,96.24855723408398
2021-05-14,125.34448617422653,104.00842927232884,86.17451380494452,90.94363175514314
2021-05-15,119.22220282972458,97.93211332975649,80.84660462503888,85.49218518255164
2021-05-16,113.08268170949897,92.39304139723664,75.79593633802128,79.9516767687215
2021-05-17,107.37123201974303,86.88988149747429,70.52548641052768,75.087751052043
2021-05-18,102.1410035689378,81.69700156073694,65.832501969775,70.39907605522123
2021-05-19,96.65651792620939,76.382020712624,61.314768248879005,65.54520570771486
2021-05-20,91.86872571897688,71.98782438441388,57.30123946789859,61.547478221147756
2021-05-21,87.19585201656838,67.76887877606048,53.42417641139675,57.54831425327034
2021-05-22,82.49424868795391,63.16208321392583,49.53849446703311,53.52903954704871
2021-05-23,78.0943064345026,59.397065699627454,46.34806947685505,50.15043550522127
2021-05-24,73.82077453635772,55.94663759228494,43.04703542578383,46.56785111733109
2021-05-25,69.97962351261341,52.503391891493955,40.0663367069097,43.38173557108394
2021-05-26,66.23615321796954,48.80014307353852,37.24221445085834,40.12954188456294
2021-05-27,62.593236615046735,45.99325859321077,34.72980863914225,37.21492130596263
2021-05-28,58.96899426915783,42.79852415910181,32.38403465942106,34.43245700790999
2021-05-29,55.24707119416848,39.5061089958924,29.93052458142731,31.802259728749245
2021-05-30,52.0135517646814,36.692042109013144,27.676685405565358,29.377479276961513
2021-05-31,48.769976966022206,34.18681870384855,25.503289183080255,27.135131951581972
