date,spring_no_effects
2021-01-15,9.90453863452396
2021-01-16,9.95768844300509
2021-01-17,9.989291031831707
2021-01-18,9.949069555143288
2021-01-19,9.837024012939825
2021-01-20,9.842769938181027
2021-01-21,9.809730868044108
2021-01-22,9.625861260325609
2021-01-23,9.50376034895004
2021-01-24,9.424753876883498
2021-01-25,9.200662792476574
2021-01-26,9.157568353167552
2021-01-27,8.91911245565762
2021-01-28,8.710822665664004
2021-01-29,8.492477506498284
2021-01-30,8.312917342710685
2021-01-31,8.045731818994737
2021-02-01,7.968161828238494
2021-02-02,7.749816669072773
2021-02-03,7.531471509907053
2021-02-04,7.331800607775245
2021-02-05,7.185279514124564
2021-02-06,6.969807317579446
2021-02-07,6.8879278828923
2021-02-08,6.648035504072067
2021-02-09,6.504387373041988
2021-02-10,6.395214793459127
2021-02-11,6.182615559534612
2021-02-12,6.094990199606262
2021-02-13,6.017420208850019
2021-02-14,5.807693937546103
2021-02-15,5.705703764514748
2021-02-16,5.554873226933164
2021-02-17,5.4413912034194025
2021-02-18,5.369567137904363
2021-02-19,5.2273554881845845
2021-02-20,5.0923262450163085
2021-02-21,5.067906062741197
2021-02-22,4.964479408399541
2021-02-23,4.866798679299085
2021-02-24,4.784919244611941
2021-02-25,4.734642398751413
2021-02-26,4.634088707030358
2021-02-27,4.540717421860806
2021-02-28,4.379831515107118
2021-03-01,4.379831515107117
2021-03-02,4.308007449592079
2021-03-03,4.241929309318242
2021-03-04,4.243365790628543
2021-03-05,4.2577306037315505
2021-03-06,4.203144313940121
2021-03-07,4.204580795250421
2021-03-08,4.063805626840943
2021-03-09,4.102590622219065
2021-03-10,4.14712154283839
2021-03-11,4.062369145530643
2021-03-12,3.976180266912595
2021-03-13,4.053750257668837
2021-03-14,4.052313776358537
2021-03-15,4.101154140908765
2021-03-16,4.157176912010495
2021-03-17,4.1557404307001935
2021-03-18,4.206017276560722
2021-03-19,4.287896711247868
2021-03-20,4.395632809520427
2021-03-21,4.467456875035467
2021-03-22,4.592430749031634
2021-03-23,4.701603328614494
2021-03-24,4.7949746137840465
2021-03-25,4.859616272747583
2021-03-26,4.984590146743752
2021-03-27,5.09519920763691
2021-03-28,5.283378259286314
2021-03-29,5.451446572591508
2021-03-30,5.59940414755249
2021-03-31,5.842169488993323
2021-04-01,6.133775194984383
2021-04-02,6.38228646166642
2021-04-03,6.546045331040712
2021-04-04,6.8362145557214715
2021-04-05,7.005719350336964
2021-04-06,7.37776800970487
2021-04-07,7.74263426252127
2021-04-08,8.039985893753537
2021-04-09,8.432145291465652
2021-04-10,8.91767597434732
2021-04-11,9.334255554334549
2021-04-12,10.033821952451035
2021-04-13,10.509297266160596
2021-04-14,11.160023299726857
2021-04-15,11.80787637067251
2021-04-16,12.5131886940302
2021-04-17,13.100709549943224
2021-04-18,13.903702602401365
2021-04-19,14.733988799755224
2021-04-20,15.798421450688114
2021-04-21,17.02517648968499
2021-04-22,18.330938000748404
2021-04-23,20.097810012418385
2021-04-24,22.275515678834385
2021-04-25,24.652892247382194
2021-04-26,27.196900647924895
2021-04-27,29.818479039223845
2021-04-28,32.338067257491424
2021-04-29,35.29147283146986
2021-04-30,37.67172236263828
2021-05-01,40.107994664908425
2021-05-02,42.33741365849525
2021-05-03,44.519428768842154
2021-05-04,46.562105192089874
2021-05-05,48.57605198913159
2021-05-06,50.417621028937205
2021-05-07,52.55079577473388
2021-05-08,54.63369367467002
2021-05-09,56.63183917729843
2021-05-10,58.810981325024734
2021-05-11,60.84647534172097
2021-05-12,62.972467680966126
2021-05-13,65.13149909034821
2021-05-14,67.40832196717497
2021-05-15,69.64779632993391
2021-05-16,72.03379178634353
2021-05-17,73.81215564849589
2021-05-18,75.67958135188694
2021-05-19,77.65761611617111
2021-05-20,79.91720121727425
2021-05-21,81.93833042086747
2021-05-22,83.66929039977991
2021-05-23,85.33991816365977
2021-05-24,87.47596587207703
2021-05-25,89.46692896815391
2021-05-26,91.21369024147967
2021-05-27,92.686083584538
2021-05-28,94.01626527787653
2021-05-29,95.09937218584334
2021-05-30,96.16236835546592
2021-05-31,96.64789903834759
