date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,0.0010108108557355157,0.0,0.0010108108557355157,0.0,0.0
2021-01-16,0.0015935092386782442,0.0,0.0015935092386782442,0.0,0.0
2021-01-17,0.0022287828375779804,0.0,0.0022287828375779804,0.0,0.0
2021-01-18,0.0029780104467077243,0.0,0.0029780104467077243,0.0,0.0
2021-01-19,0.003869141888133606,0.0,0.003869141888133606,0.0,0.0
2021-01-20,0.004702526780885398,0.0,0.004702526780885398,0.0,0.0
2021-01-21,0.005505499312181968,0.0,0.005505499312181968,0.0,0.0
2021-01-22,0.006272210950974224,0.0,0.006272210950974224,0.0,0.0
2021-01-23,0.007012634981787978,0.0,0.007012634981787978,0.0,0.0
2021-01-24,0.007744747942163567,0.0,0.007744747942163567,0.0,0.0
2021-01-25,0.008452358635617739,0.0,0.008452358635617739,0.0,0.0
2021-01-26,0.009104746883271628,0.0,0.009104746883271628,0.0,0.0
2021-01-27,0.009710346882532866,0.0,0.009710346882532866,0.0,0.0
2021-01-28,0.010283133544434516,0.0,0.010283133544434516,0.0,0.0
2021-01-29,0.010826862241544945,0.0,0.010826862241544945,0.0,0.0
2021-01-30,0.011359817328828119,0.0,0.011359817328828119,0.0,0.0
2021-01-31,0.011892957106565464,0.0,0.011892957106565464,0.0,0.0
2021-02-01,0.012436193295798077,0.0,0.012436193295798077,0.0,0.0
2021-02-02,0.013003623934528466,0.0,0.013003623934528466,0.0,0.0
2021-02-03,0.01359272491988282,0.0,0.01359272491988282,0.0,0.0
2021-02-04,0.014207497878368402,0.0,0.014207497878368402,0.0,0.0
2021-02-05,0.014850713166797943,0.0,0.014850713166797943,0.0,0.0
2021-02-06,0.015515537238366732,0.0,0.015515537238366732,0.0,0.0
2021-02-07,0.016184301372958055,0.0,0.016184301372958055,0.0,0.0
2021-02-08,0.016845062254534846,0.0,0.016845062254534846,0.0,0.0
2021-02-09,0.017498558644913825,0.0,0.017498558644913825,0.0,0.0
2021-02-10,0.01817551072297386,0.0,0.01817551072297386,0.0,0.0
2021-02-11,0.0188764725600775,0.0,0.0188764725600775,0.0,0.0
2021-02-12,0.019595780315629825,0.0,0.019595780315629825,0.0,0.0
2021-02-13,0.02034026753643558,0.0,0.02034026753643558,0.0,0.0
2021-02-14,0.021104762889777664,0.0,0.021104762889777664,0.0,0.0
2021-02-15,0.021896223049430254,0.0,0.021896223049430254,0.0,0.0
2021-02-16,0.0227252369347664,0.0,0.0227252369347664,0.0,0.0
2021-02-17,0.02358300096747016,0.0,0.02358300096747016,0.0,0.0
2021-02-18,0.024468776385724776,0.0,0.024468776385724776,0.0,0.0
2021-02-19,0.025392043966178245,0.0,0.025392043966178245,0.0,0.0
2021-02-20,0.026339875377037865,0.0,0.026339875377037865,0.0,0.0
2021-02-21,0.027317872895413795,0.0,0.027317872895413795,0.0,0.0
2021-02-22,0.028347337487021656,0.0,0.028347337487021656,0.0,0.0
2021-02-23,0.029419527137030152,0.0,0.029419527137030152,0.0,0.0
2021-02-24,0.030528347060451346,0.0,0.030528347060451346,0.0,0.0
2021-02-25,0.03170624121373643,0.0,0.03170624121373643,0.0,0.0
2021-02-26,0.032958073112178826,0.0,0.032958073112178826,0.0,0.0
2021-02-27,0.03426395775021171,0.0,0.03426395775021171,0.0,0.0
2021-02-28,0.035614106533763415,0.0,0.035614106533763415,0.0,0.0
2021-03-01,0.03704601162503283,0.0,0.03704601162503283,0.0,0.0
2021-03-02,0.03857173946702644,0.0,0.03857173946702644,0.0,0.0
2021-03-03,0.040198123606548994,0.0,0.040198123606548994,0.0,0.0
2021-03-04,0.04191026568029652,0.0,0.04191026568029652,0.0,0.0
2021-03-05,0.043724972519599475,0.0,0.043724972519599475,0.0,0.0
2021-03-06,0.04561841905586857,0.0,0.04561841905586857,0.0,0.0
2021-03-07,0.04756948901384225,0.0,0.04756948901384225,0.0,0.0
2021-03-08,0.049588217241531105,0.0,0.049588217241531105,0.0,0.0
2021-03-09,0.05166616954152749,0.0,0.05166616954152749,0.0,0.0
2021-03-10,0.0538223074671274,0.0,0.0538223074671274,0.0,0.0
2021-03-11,0.056048997146224654,0.0,0.056048997146224654,0.0,0.0
2021-03-12,0.058363661044997066,0.0,0.058363661044997066,0.0,0.0
2021-03-13,0.060755833371040964,0.0,0.060755833371040964,0.0,0.0
2021-03-14,0.06318008027262771,0.0,0.06318008027262771,0.0,0.0
2021-03-15,0.06560832880072179,0.0,0.06560832880072179,0.0,0.0
2021-03-16,0.06788931747334839,0.0,0.06788931747334839,0.0,0.0
2021-03-17,0.07000747072887163,0.0,0.07000747072887163,0.0,0.0
2021-03-18,0.07194752082307913,0.0,0.07194752082307913,0.0,0.0
2021-03-19,0.07372652084124036,0.0,0.07372652084124036,0.0,0.0
2021-03-20,0.07545202219117367,0.0,0.07545202219117367,0.0,0.0
2021-03-21,0.07716404113795176,0.0,0.07716404113795176,0.0,0.0
2021-03-22,0.07888295519501923,0.0,0.07888295519501923,0.0,0.0
2021-03-23,0.08078366622248606,0.0,0.08078366622248606,0.0,0.0
2021-03-24,0.08289480124075048,0.0,0.08289480124075048,0.0,0.0
2021-03-25,0.08524837326187039,0.0,0.08524837326187039,0.0,0.0
2021-03-26,0.0878234507010388,0.0,0.0878234507010388,0.0,0.0
2021-03-27,0.09050041570743063,0.0,0.09050041570743063,0.0,0.0
2021-03-28,0.09320963997981942,0.0,0.09320963997981942,0.0,0.0
